"HMDBID"	"CHEBI"	"label"	"log2FC_met"	"pvalue_met"
"HMDB0000014"	"CHEBI:15698"	"2-deoxycytidine"	-0.180939836456361	0.72209013912644
"HMDB0000017"	"CHEBI:17405"	"4-pyridoxate"	-0.445331582841003	0.217713208031552
"HMDB0000019"	"CHEBI:16530"	"alpha-ketoisovalerate"	-0.00189580824065949	0.997022920466448
"HMDB0000020"	"CHEBI:18101"	"p-hydroxyphenylacetate"	0.359901216632263	0.352352335233628
"HMDB0000026"	"CHEBI:18261"	"N-carbamoyl-beta-alanine"	0.737737618023116	0.0463182660028198
"HMDB0000030"	"CHEBI:15956"	"biotin"	0.335193163056044	0.418946108848184
"HMDB0000034"	"CHEBI:16708"	"adenine"	-0.465354370383395	0.26285969626248
"HMDB0000036"	"CHEBI:28865"	"taurocholate"	2.31593621944981	0.00719262732866591
"HMDB0000039"	"CHEBI:30772"	"butyrate"	-0.51911390249321	0.280305296989072
"HMDB0000043"	"CHEBI:41139"	"betaine"	1.25944500066579	0.0147939062455201
"HMDB0000044"	"CHEBI:29073"	"ascorbate"	0.0315637625120182	0.959112320331256
"HMDB0000050"	"CHEBI:16335"	"adenosine"	0.255359059913392	0.591277589368255
"HMDB0000054"	"CHEBI:16990"	"bilirubin"	-0.0440223065979808	0.96658350607815
"HMDB0000056"	"CHEBI:16958"	"beta-alanine"	0.585244350056417	0.234275654001294
"HMDB0000062"	"CHEBI:16347"	"carnitine"	0.462854844348168	0.225437962761464
"HMDB0000063"	"CHEBI:17650"	"cortisol"	-0.40699468351224	0.330374873247261
"HMDB0000064"	"CHEBI:16919"	"creatine"	2.98818690098177	0.000912130189207335
"HMDB0000067"	"CHEBI:16113"	"cholesterol"	0.803036173869369	0.246197436809928
"HMDB0000086"	"CHEBI:16870"	"alpha-glycerophosphocholine"	1.54767704794321	0.0208734371340742
"HMDB0000089"	"CHEBI:17562"	"cytidine"	-0.219406255150819	0.701040171944354
"HMDB0000092"	"CHEBI:17724"	"dimethylglycine"	0.404827898292369	0.469211373157524
"HMDB0000094"	"CHEBI:30769"	"citrate"	1.14445367067312	0.0319381944542014
"HMDB0000097"	"CHEBI:15354"	"choline"	1.86583817542872	0.00114021053923914
"HMDB0000098"	"CHEBI:53455"	"xylose"	0.422759907653219	0.0451028234907792
"HMDB0000101"	"CHEBI:17256"	"2-deoxyadenosine"	0.342259067451764	0.501681381024156
"HMDB0000118"	"CHEBI:545959"	"homovanillate"	-0.70164464087668	0.282295325679259
"HMDB0000122"	"CHEBI:15903"	"fructose/glucose/galactose"	0.517534854011597	0.061657707384989
"HMDB0000123"	"CHEBI:15428"	"glycine"	0.755153742566076	0.18304084555285
