"HMDBID"	"CHEBI"	"label"	"log2FC_met"	"pvalue_met"
"HMDB0000014"	"CHEBI:15698"	"2-deoxycytidine"	0.322260224750462	0.519166841841022
"HMDB0000017"	"CHEBI:17405"	"4-pyridoxate"	0.173218963403919	0.607049165653052
"HMDB0000019"	"CHEBI:16530"	"alpha-ketoisovalerate"	-0.472335834651323	0.399172229058099
"HMDB0000020"	"CHEBI:18101"	"p-hydroxyphenylacetate"	0.295029298324316	0.375916959186704
"HMDB0000026"	"CHEBI:18261"	"N-carbamoyl-beta-alanine"	1.0801222194929	0.0110663770852009
"HMDB0000030"	"CHEBI:15956"	"biotin"	0.584418377693066	0.194320910940888
"HMDB0000034"	"CHEBI:16708"	"adenine"	-0.413721550866562	0.373541638050929
"HMDB0000036"	"CHEBI:28865"	"taurocholate"	0.826080572101702	0.353300354125846
"HMDB0000039"	"CHEBI:30772"	"butyrate"	-0.118625337078395	0.716588435184898
"HMDB0000043"	"CHEBI:41139"	"betaine"	0.99881109378471	0.0394935372487073
"HMDB0000044"	"CHEBI:29073"	"ascorbate"	0.378208855554281	0.470829066624955
"HMDB0000050"	"CHEBI:16335"	"adenosine"	0.292076446229526	0.545244433556026
"HMDB0000054"	"CHEBI:16990"	"bilirubin"	0.491734207939132	0.582175012013023
"HMDB0000056"	"CHEBI:16958"	"beta-alanine"	0.754401103291755	0.116689468211755
"HMDB0000062"	"CHEBI:16347"	"carnitine"	0.427707120185492	0.309574351765625
"HMDB0000063"	"CHEBI:17650"	"cortisol"	-0.636602364035081	0.177221239382556
"HMDB0000064"	"CHEBI:16919"	"creatine"	1.73815345950752	0.0383328166169785
"HMDB0000067"	"CHEBI:16113"	"cholesterol"	0.313102546819156	0.646165017117855
"HMDB0000086"	"CHEBI:16870"	"alpha-glycerophosphocholine"	1.18204148244695	0.0289412220272635
"HMDB0000089"	"CHEBI:17562"	"cytidine"	-0.553580631550293	0.385779172262294
"HMDB0000092"	"CHEBI:17724"	"dimethylglycine"	-0.302017246764573	0.588898864535062
"HMDB0000094"	"CHEBI:30769"	"citrate"	0.531432265580371	0.298217656591026
"HMDB0000097"	"CHEBI:15354"	"choline"	1.72605030744721	0.00188974149672838
"HMDB0000098"	"CHEBI:53455"	"xylose"	0.0490346359726068	0.817959730524499
"HMDB0000101"	"CHEBI:17256"	"2-deoxyadenosine"	0.0860213979822859	0.86331978117179
"HMDB0000118"	"CHEBI:545959"	"homovanillate"	-0.406931366877322	0.568249826506919
"HMDB0000122"	"CHEBI:15903"	"fructose/glucose/galactose"	-0.0120985672893674	0.965556374643323
"HMDB0000123"	"CHEBI:15428"	"glycine"	0.687262671726593	0.130564257334733
"HMDB0000126"	"CHEBI:15978"	"alpha-glycerophosphate"	1.28904550329448	0.103850188021308
"HMDB0000132"	"CHEBI:16235"	"guanine"	-0.435424352313136	0.320017360133449
"HMDB0000133"	"CHEBI:16750"	"guanosine"	0.285494598311956	0.343727540896799
"HMDB0000134"	"CHEBI:18012"	"fumarate/maleate"	0.0998155642376606	0.768995838255671
"HMDB0000138"	"CHEBI:17687"	"glycocholate"	0.626298995218853	0.347921114463815
"HMDB0000139"	"CHEBI:32398"	"glycerate"	-0.223312914055548	0.471541559720603
"HMDB0000148"	"CHEBI:16015"	"glutamate"	0.180505293532249	0.62968312804581
"HMDB0000152"	"CHEBI:17189"	"gentisate"	0.504792151685248	0.176333263273926
"HMDB0000156"	"CHEBI:30797"	"malate"	0.430236546291979	0.337582498475084
"HMDB0000157"	"CHEBI:17368"	"hypoxanthine"	-0.165105529201245	0.746601319796783
"HMDB0000158"	"CHEBI:17895"	"tyrosine"	-0.00784554937670734	0.980515766643296
"HMDB0000159"	"CHEBI:17295"	"phenylalanine"	0.562670047672245	0.210885221359081
"HMDB0000161"	"CHEBI:16977"	"alanine"	-0.00883540264584326	0.979901941685819
"HMDB0000162"	"CHEBI:17203"	"proline"	-0.284132529799685	0.460618402531512
"HMDB0000167"	"CHEBI:16857"	"threonine"	0.213926802217035	0.601262642697834
"HMDB0000172"	"CHEBI:17191"	"isoleucine"	0.271081762776774	0.524236946932873
"HMDB0000174"	"CHEBI:42548"	"fucose"	0.162414190149757	0.568078109607962
"HMDB0000177"	"CHEBI:15971"	"histidine"	0.879603157202073	0.0655592582057602
"HMDB0000182"	"CHEBI:18019"	"lysine"	0.546638777062736	0.207965589227277
"HMDB0000186"	"CHEBI:36219"	"lactose"	0.222225749824805	0.590237807205261
"HMDB0000187"	"CHEBI:17115"	"serine"	-0.0312788867840972	0.941629962472604
"HMDB0000190"	"CHEBI:422"	"lactate"	0.55844130459996	0.22321649479861
"HMDB0000191"	"CHEBI:17053"	"aspartate"	-0.244881801387102	0.601053536348126
"HMDB0000194"	"CHEBI:18323"	"anserine"	-0.265304581827934	0.771772928287419
"HMDB0000195"	"CHEBI:17596"	"inosine"	0.825463276731043	0.100366585094198
"HMDB0000197"	"CHEBI:16411"	"indoleacetate"	0.0679097173688259	0.831857249750356
"HMDB0000201"	"CHEBI:57589"	"C2 carnitine"	2.89785803196189	0.000550606315721025
"HMDB0000206"	"CHEBI:17752"	"N6-acetyllysine"	0.167382527515763	0.544359371737463
"HMDB0000207"	"CHEBI:16196"	"oleate"	0.180797707416374	0.587977285314643
"HMDB0000209"	"CHEBI:30745"	"phenylacetate"	-0.127484533627328	0.757025520825527
"HMDB0000210"	"CHEBI:46905"	"pantothenate"	-0.403422626211455	0.290872980109209
"HMDB0000212"	"CHEBI:40356"	"acetyl-galactosamine"	-0.766071284231234	0.0694738241880708
"HMDB0000214"	"CHEBI:15729"	"ornithine"	0.834541151377696	0.265258740404053
"HMDB0000216"	"CHEBI:18357"	"norepinephrine"	0.0667834628891804	0.870931652678667
"HMDB0000220"	"CHEBI:15756"	"palmitate"	0.0414661735339585	0.892126753514783
"HMDB0000222"	"CHEBI:17490"	"C16 carnitine"	1.50655361622674	0.0353240922928003
"HMDB0000226"	"CHEBI:16742"	"orotate"	-0.990702453131288	0.0486583527310747
"HMDB0000237"	"CHEBI:30768"	"propionate"	-0.19340861036245	0.460756908781509
"HMDB0000239"	"CHEBI:16709"	"pyridoxine"	1.08342851309152	0.0137213211906319
"HMDB0000244"	"CHEBI:17015"	"riboflavin"	0.175605081934776	0.709752060539554
"HMDB0000245"	"CHEBI:17381"	"porphobilinogen"	-0.807280404896449	0.0352669018953191
"HMDB0000247"	"CHEBI:17924"	"sorbitol"	0.789883469419877	0.109934501680907
"HMDB0000251"	"CHEBI:15891"	"taurine"	2.72528393205674	0.00582529957846829
"HMDB0000252"	"CHEBI:16393"	"sphingosine-isomer3"	0.219463637790216	0.665728161637104
"HMDB0000252"	"CHEBI:16393"	"sphingosine-isomer2"	0.495134008844495	0.453045238843882
"HMDB0000252"	"CHEBI:16393"	"sphingosine-isomer1"	0.782619490312687	0.157233672973126
"HMDB0000252"	"CHEBI:16393"	"sphingosine"	0.218865109786996	0.684936487276196
"HMDB0000254"	"CHEBI:15741"	"succinate"	0.157877416060185	0.766729724394104
"HMDB0000259"	"CHEBI:28790"	"serotonin"	-0.280111968616955	0.71004794240747
"HMDB0000262"	"CHEBI:17821"	"thymine"	-0.0301087894480503	0.948798550576661
"HMDB0000269"	"CHEBI:16566"	"sphinganine"	0.0250519367320798	0.949651132763895
"HMDB0000289"	"CHEBI:17775"	"urate"	-0.260880162765606	0.684489181423843
"HMDB0000292"	"CHEBI:17712"	"xanthine"	-0.580300994683647	0.164885348823399
"HMDB0000296"	"CHEBI:16704"	"uridine"	0.901478210755201	0.0337804826847285
"HMDB0000300"	"CHEBI:17568"	"uracil"	0.208110226483019	0.626586038253675
"HMDB0000317"	"CHEBI:89228"	"2-hydroxy-3-methylpentanoate"	-0.374048372585754	0.540405543856223
"HMDB0000355"	"CHEBI:16831"	"3-hydroxymethylglutarate"	0.502882455787493	0.170268575420896
"HMDB0000391"	"CHEBI:16390"	"ketodeoxycholate"	1.00932218277942	0.0729697962676617
"HMDB0000407"	"CHEBI:60645"	"2-hydroxy-3-methylbutyrate"	0.363601787122601	0.458181206478461
"HMDB0000448"	"CHEBI:30832"	"adipate"	-0.449460417301616	0.408299377357414
