"HMDB_ID","Compound_Name","foldchange_disorder","p_values_disorder","relevant_ids","relevant_labels"
"HMDB0004705","12.13-diHOME",0.222432255457008,0.517476647715471,NA,NA
"HMDB0004704","9.10-diHOME",0.249681340818245,0.372623475293718,NA,NA
"HMDB0000535","caproate",-1.44790960355168,0.184085742151625,NA,NA
"HMDB0000764","hydrocinnamate",-1.0635495031708,0.22061129716029,NA,NA
"HMDB0000703","mandelate",0.215559387532274,0.57133666484983,NA,NA
"HMDB0000711","2-hydroxyoctanoate",0.688498315193868,0.0594407210897292,NA,NA
"HMDB0001954","3-hydroxyoctanoate",0.234305136827578,0.375647178379591,NA,NA
"HMDB0000511","caprate",-0.304526176776424,0.705535380345719,NA,NA
"HMDB0000197","indoleacetate",-0.453319063665411,0.29403806196145,NA,NA
"HMDB0002203","3-hydroxydecanoate",0.302455500894808,0.328907825098536,NA,NA
"HMDB0000638","dodecanoate",0.382941822579316,0.664533063706676,NA,NA
"HMDB0000888","undecanedionate",-0.547610513794567,0.159842889660006,NA,NA
"HMDB0002000","myristoleate",0.226914310049342,0.646516577401131,NA,NA
"HMDB0000806","myristate",0.200264551640558,0.648283396733202,NA,NA
"HMDB0000623","dodecanedioate",-0.198082411450606,0.667715903750192,NA,NA
"HMDB0000826","pentadecanoate",-0.121723983837033,0.705348928319506,NA,NA
"HMDB0002261","hydroxymyristate",-0.0996752528136273,0.875411180563945,NA,NA
"HMDB0003229","palmitoleate",0.541685966822506,0.0955547965755664,NA,NA
"HMDB0000220","palmitate",0.330205221364057,0.251953914657456,NA,NA
"HMDB0000872","tetradecanedioate",-0.0185510503326292,0.934063931907359,NA,NA
"HMDB0060038","10-heptadecenoate",0.131351275754863,0.757676699920628,NA,NA
"HMDB0062548","2-hydroxyhexadecanoate",0.308191156564856,0.65307743414771,NA,NA
"HMDB0001388","alpha-linolenate",0.640344870024968,0.152584261038005,NA,NA
"HMDB0000673","linoleate",0.245081409901349,0.430837476802793,NA,NA
"HMDB0000207","oleate",0.242643484492557,0.394604375147746,NA,NA
"HMDB0000827","stearate",0.371540871396473,0.47042461110085,NA,NA
