"HMDB_ID","Compound_Name","foldchange_disorder","p_values_disorder","relevant_ids","relevant_labels"
"HMDB0004705","12.13-diHOME",-0.250931503088662,0.509198021413509,NA,NA
"HMDB0004704","9.10-diHOME",-0.317208086756288,0.415567220471141,NA,NA
"HMDB0000535","caproate",-1.18994409951307,0.269992318638237,NA,NA
"HMDB0000666","heptanoate",-0.885930182633706,0.594201351951003,NA,NA
"HMDB0000764","hydrocinnamate",0.135552037243404,0.863777922908254,NA,NA
"HMDB0000703","mandelate",0.493500495218742,0.154305784599993,NA,NA
"HMDB0000711","2-hydroxyoctanoate",0.549628382952072,0.233397955281164,NA,NA
"HMDB0001954","3-hydroxyoctanoate",0.171150060725168,0.549888224730004,NA,NA
"HMDB0000511","caprate",0.120288131049902,0.885461443784668,NA,NA
"HMDB0000197","indoleacetate",0.0679097173688259,0.831857249750356,NA,NA
"HMDB0002203","3-hydroxydecanoate",0.473490026620933,0.123014198057777,NA,NA
"HMDB0000638","dodecanoate",0.00428888700699304,0.996300086168586,NA,NA
"HMDB0000888","undecanedionate",0.00270969109961783,0.993919622541186,NA,NA
"HMDB0002000","myristoleate",0.552936126305744,0.324968279495348,NA,NA
"HMDB0000806","myristate",0.0314066101244563,0.950059229431907,NA,NA
"HMDB0000623","dodecanedioate",0.143692792858793,0.794951164450258,NA,NA
"HMDB0000826","pentadecanoate",0.0412749941451942,0.922733556605366,NA,NA
"HMDB0002261","hydroxymyristate",0.409028863120156,0.552202581814684,NA,NA
"HMDB0003229","palmitoleate",0.678364253529107,0.0740807343706206,NA,NA
"HMDB0000220","palmitate",0.0414661735339585,0.892126753514783,NA,NA
"HMDB0000872","tetradecanedioate",-0.140534391341648,0.523775955703075,NA,NA
"HMDB0060038","10-heptadecenoate",0.51132746968614,0.316191133205435,NA,NA
"HMDB0062548","2-hydroxyhexadecanoate",0.459392664970576,0.533812050473667,NA,NA
"HMDB0001388","alpha-linolenate",0.59063943401415,0.24655910365084,NA,NA
"HMDB0000673","linoleate",0.211734397489657,0.554237558068392,NA,NA
"HMDB0000207","oleate",0.180797707416374,0.587977285314643,NA,NA
"HMDB0000827","stearate",-0.0989125604677099,0.829201899139848,NA,NA
"HMDB0000672","hexadecanedioate",-0.263805547978267,0.310131094247504,NA,NA
"HMDB0013622","10-nonadecenoate",0.463299138047137,0.247503861863535,NA,NA
"HMDB0000772","nonadecanoate",-0.0449376087350313,0.932464593144125,NA,NA
"HMDB0061710","17-methylstearate",0.34077077213829,0.421135564209743,NA,NA
"HMDB0005060","eicosadienoate",0.865159994184243,0.0465089805403026,NA,NA
"HMDB0002231","eicosenoate",0.409518936681138,0.355100226135097,NA,NA
"HMDB0002212","arachidate",-0.0671863260908232,0.907474649894132,NA,NA
"HMDB0000801","phytanate",0.135056165149582,0.786306055262837,NA,NA
"HMDB0002068","13-docosenoate",0.837474120761467,0.166579802477366,NA,NA
"HMDB0002364","oleanate",0.204352452769552,0.801109579821864,NA,NA
"HMDB0002392","masilinate",0.488605758003406,0.586972635037442,NA,NA
"HMDB0000761","lithocholate",-0.128090639270937,0.840723593494718,NA,NA
"HMDB0000518","chenodeoxycholate",0.185108542911305,0.733694312036542,NA,NA
"HMDB0000626","deoxycholate",-0.144408677482222,0.713043077900805,NA,NA
"HMDB0000733","hyodeoxycholate/ursodeoxycholate",0.399779503916399,0.422541553810913,NA,NA
"HMDB0000391","ketodeoxycholate",1.00932218277942,0.0729697962676617,NA,NA
"HMDB0000619","cholate",0.78155954041528,0.145950861906824,NA,NA
"HMDB0000698","glycolithocholate",-0.00227098595728492,0.997031642539861,NA,NA
"HMDB0000637","glycochenodeoxycholate",0.595964703062297,0.277941471452241,NA,NA
"HMDB0000631","glycodeoxycholate",0.0889899177896467,0.885461197976269,NA,NA
"HMDB0000708","glycoursodeoxycholate",1.00512268627228,0.223935401911209,NA,NA
"HMDB0000138","glycocholate",0.626298995218853,0.347921114463815,NA,NA
"HMDB0000722","taurolithocholate",1.18228983891501,0.0764137781045271,NA,NA
"HMDB0000951","taurochenodeoxycholate",0.630000610951427,0.492985889770655,NA,NA
