"","Fold Change","log2(FC)"
"HMDB15052",742.62,9.5365
"HMDB29723",34.68,5.1161
"HMDB08038",18.215,4.187
"HMDB11212",17.582,4.136
"HMDB11208",17.422,4.1228
"HMDB00138",16.876,4.0769
"HMDB00036",15.073,3.9139
"HMDB00637",15.065,3.9131
"HMDB07871",14.433,3.8513
"HMDB07970",14.145,3.8222
"HMDB11241",12.025,3.588
"HMDB04824",11.599,3.5359
"HMDB11130",11.175,3.4822
"HMDB07972",11.109,3.4737
"HMDB07873",10.05,3.3291
"HMDB02064",9.1593,3.1952
"HMDB06344",9.0083,3.1713
"HMDB00064",8.7766,3.1337
"HMDB08039",8.5532,3.0965
"HMDB11243",8.3518,3.0621
"HMDB00201",8.113,3.0202
"HMDB07199",8.0669,3.012
"HMDB00951",7.856,2.9738
"HMDB11621",0.13535,-2.8853
"HMDB07973",7.2726,2.8625
"HMDB00708",7.22,2.852
"HMDB10384",7.0325,2.814
"HMDB11310",6.893,2.7851
"HMDB11252",6.7692,2.759
"HMDB00177",6.0349,2.5933
"HMDB00086",5.9863,2.5817
"HMDB08138",5.8806,2.556
"HMDB05066",5.8213,2.5413
"HMDB07869",5.816,2.54
"HMDB10383",5.77,2.5286
"HMDB00222",5.6418,2.4962
"HMDB00725",5.5063,2.4611
"HMDB01414",5.4143,2.4368
"HMDB14611",5.3993,2.4328
"HMDB04161",0.18883,-2.4049
"HMDB10169",5.1984,2.3781
"HMDB02226",5.0855,2.3464
"HMDB01432",5.0323,2.3312
"HMDB11220",4.9606,2.3105
"HMDB00247",4.7709,2.2543
"HMDB01390",0.21173,-2.2397
"HMDB00043",4.7089,2.2354
"HMDB12107",4.7039,2.2339
"HMDB11210",4.5089,2.1728
"HMDB08006",4.4342,2.1487
"HMDB01325",4.4268,2.1463
"HMDB12104",4.4234,2.1452
"HMDB05065",4.4136,2.142
"HMDB10407",4.4014,2.138
"HMDB00557",0.23266,-2.1037
"HMDB06469",4.2286,2.0802
"HMDB10387",4.2084,2.0733
"HMDB05436",4.1773,2.0626
"HMDB08270",4.1641,2.058
"HMDB06726",4.1413,2.0501
"HMDB10395",4.1404,2.0498
"HMDB00097",4.1312,2.0465
"HMDB04159",0.24225,-2.0454
"HMDB00722",4.114,2.0405
"HMDB00562",4.0074,2.0027
"HMDB13122",3.9448,1.98
"HMDB02815",3.9336,1.9758
"HMDB06731",3.9253,1.9728
"HMDB11520",3.9188,1.9704
"HMDB10391",3.8786,1.9556
"HMDB05462",3.7289,1.8988
"HMDB00472",3.7258,1.8976
"HMDB01999",3.7176,1.8944
"HMDB01149",3.7098,1.8914
"HMDB30180",3.6921,1.8845
"HMDB08105",3.6625,1.8728
"HMDB00956",3.659,1.8715
"HMDB00159",3.6332,1.8613
"HMDB11507",3.6129,1.8532
