""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	-0.201273412729265	-1.1497127154964	0.215550232465947	-0.933765695479186	0.350424768568159	0.59204464611496
"A1BG-AS1"	69.3079655839883	0.150956765201027	1.11030555940533	0.226474197837331	0.666551716012495	0.505058519422223	0.719708390176668
"A1CF"	4209.32922804507	-0.364716126088701	-1.28762824260618	0.220816154416692	-1.6516732077512	0.0986011872638387	0.295267436849245
"A2M"	24107.715794389	0.591863480551582	1.50719228011238	0.206833397417096	2.86154696457478	0.00421579038232023	0.0423255773043173
"A2M-AS1"	25.135079797593	0.175712330707901	1.12952196864288	0.203575146654792	0.863132526711926	0.388064606118178	0.627307802589718
"A4GALT"	188.598842257713	0.596060048570653	1.5115828428599	0.273160346672326	2.18208849063172	0.029103002468654	0.145836609583788
"AAAS"	1088.2615964066	0.0135136004566447	1.00941092089063	0.0515069661014667	0.262364520364555	0.793040423467072	0.902055315355681
"AACS"	1603.44237482659	0.0642381321488678	1.04553266224057	0.102431449030543	0.627132904560523	0.530572119750921	0.737508602580142
"AADAC"	5026.48485404449	-0.160939589281791	-1.11801503476189	0.575319522578958	-0.279739489041419	0.779677379461562	0.895267417806208
"AADAT"	104.800746565292	0.399956593591726	1.31946821129666	0.153666223163697	2.6027619170783	0.00924761482410954	0.0721118066822664
"AAED1"	274.816331693198	0.44721675258861	1.36340743219918	0.149247085742839	2.99648566243491	0.00273111080749222	0.0313165009528797
"AAGAB"	3606.7101290509	0.0290768452850545	1.0203590073181	0.0883847267759344	0.328980428471173	0.742170481228557	0.875560982995633
"AAK1"	285.1986767905	-0.141477499419908	-1.10303418201897	0.119817702958451	-1.18077292358849	0.237692943094196	0.482141388513429
"AAMDC"	597.056042859836	-0.0938164513333214	-1.06718955488726	0.12150581563148	-0.772114905329812	0.440046374903404	0.670669770858569
"AAMP"	5226.35493503696	-0.0421525230614337	-1.02964893312284	0.0703203781420641	-0.599435386656702	0.548882585338411	0.750468692596616
"AAR2"	1376.34061623889	0.0165483908038909	1.01153650852893	0.045094966527903	0.366967581484985	0.713643199792773	0.855036299182147
"AARS"	3420.10614401234	0.249928739030756	1.18914837635294	0.0794649050556801	3.14514613533652	0.00166003885632985	0.0220382318492475
"AARS2"	765.123530721917	-0.193552985095132	-1.14357658439118	0.0714419923785916	-2.70923274465022	0.00674390128052767	0.0586129885122318
"AASDH"	544.370979835791	-0.010671941084314	-1.00742465293535	0.0618556646842939	-0.172529729310689	0.863021091167104	0.934754363180258
"AASDHPPT"	1288.80449073983	0.00221620341480651	1.00153733563924	0.0553098710333224	0.0400688588384399	0.968038228901466	0.986290463281376
"AASS"	212.889505174297	0.410461648896132	1.32911104914024	0.161585458150618	2.54021403654734	0.0110784648077355	0.0803117910537088
"AATF"	1938.31797513347	-0.0584319926497945	-1.04133336212659	0.0477555052797228	-1.22356558280632	0.221116149716968	0.463478335171866
"AATK"	499.737588672289	-0.405885510540297	-1.32490187124928	0.2498641237511	-1.62442492522303	0.104285151037326	0.304682311314408
