""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	-0.161916258406936	-1.11877215974223	0.207108803752004	-0.781793219185496	0.434336106715411	0.716949421677901
"A1BG-AS1"	69.3079655839883	0.226060224512388	1.16963648886591	0.218075009372247	1.03661682814151	0.29991446747067	0.613056968080262
"A1CF"	4209.32922804507	-0.215475826461369	-1.16108679829804	0.210501482742389	-1.02363092009698	0.306009635018506	0.618176546333257
"A2M"	24107.715794389	0.0425729444239433	1.0299490308398	0.197129966375864	0.215963839524886	0.829015934292839	0.932148365189594
"A2M-AS1"	25.135079797593	-0.0221347235122027	-1.01546092345544	0.195241780892727	-0.113370833901399	0.909736561781669	0.967036338006503
"A4GALT"	188.598842257713	0.578464747644626	1.49325934217889	0.260956042375048	2.21671336819729	0.0266426846877176	0.171565684559756
"AAAS"	1088.2615964066	0.0385045349656862	1.02704865928692	0.0489852083462295	0.786044119554101	0.431841640089981	0.714948166437738
"AACS"	1603.44237482659	0.0432537378632247	1.03043516823522	0.0974032540551904	0.444068714980676	0.656992904399188	0.854172954214823
"AADAC"	5026.48485404449	-4.09035709547371	-17.0341386827406	0.549472309945225	-7.44415509469706	9.75668224326964e-14	2.25274368806705e-11
"AADAT"	104.800746565292	0.0333709944511825	1.02340060721151	0.141740218167232	0.23543772461116	0.813869008836517	0.926853917642514
"AAED1"	274.816331693198	0.262568449327295	1.19961249085504	0.142993437474114	1.83622727004397	0.0663240511122154	0.282831923184028
"AAGAB"	3606.7101290509	0.00123322741059979	1.00085517355522	0.084154893071466	0.0146542567590516	0.988308013253726	0.996690628051413
"AAK1"	285.1986767905	-0.058421414838451	-1.04132572711908	0.113807850662944	-0.5133337858341	0.607717854312053	0.826951087591173
"AAMDC"	597.056042859836	-0.162125083990174	-1.1189341102248	0.115744507985619	-1.40071513380417	0.161299275308142	0.454712969490651
"AAMP"	5226.35493503696	0.0168930796325249	1.0117782137953	0.0669794755695797	0.25221277844996	0.800876601509804	0.921081069296944
"AAR2"	1376.34061623889	-0.0552143794813271	-1.0390134856288	0.0429910097618117	-1.2843238571794	0.199028662652494	0.504278243342353
"AARS"	3420.10614401234	0.116988582112167	1.08446882602267	0.075751253367163	1.54437817081558	0.122496745132405	0.393478765079774
"AARS2"	765.123530721917	-0.11733700677831	-1.0847307672573	0.0683205743096817	-1.71744760584781	0.0858974197735983	0.324973938499563
"AASDH"	544.370979835791	0.0212889351938284	1.01486577808209	0.0588349757224239	0.361841488543599	0.717470486514727	0.885706938241518
"AASDHPPT"	1288.80449073983	-0.0119449688382767	-1.00831399233174	0.052793995781387	-0.226256199431073	0.821002162848544	0.930300642396677
"AASS"	212.889505174297	0.144209207266522	1.1051247288949	0.155191676687466	0.929232870889972	0.352768415775578	0.658363141316007
"AATF"	1938.31797513347	-0.0538234181843339	-1.03801221299184	0.0456189922697269	-1.17984671529124	0.238061185774753	0.548516336777749
"AATK"	499.737588672289	-0.141384085026494	-1.10296276295237	0.23899997609294	-0.591565268489876	0.554141737032544	0.791631052903635
"AB019441.29"	83.5535469462515	0.0891334280107988	1.06373104777535	0.16502474239415	0.540121600662221	0.589113174990214	0.815367362420494
"ABAT"	1983.34635711958	-0.202553146818469	-1.15073301380744	0.178286001479014	-1.13611357671461	0.255909033658701	0.568722503427148
"ABC7-42389800N19.1"	406.668155904999	-0.00829299694404975	-1.00576482044131	0.197821325832506	-0.0419216528306527	0.966561155106698	0.988917067826094
"ABCA1"	1626.4074328843	0.013975902098276	1.00973443146516	0.178076557095456	0.0784825488892648	0.937444211370053	0.97894157572109
"ABCA10"	157.17572700083	0.0612600663493143	1.04337666009669	0.208739460579915	0.293476212782782	0.76915817889854	0.909377420047777
"ABCA11P"	18.5841702774783	-0.28149197734246	-1.21545120554767	0.159761059458947	-1.7619561255776	0.0780767106412685	0.310235097151161
"ABCA12"	165.608384238606	4.40203434075012	21.1419177297148	0.575734791255568	7.64594116528918	2.07422499645721e-14	5.64387089433346e-12
"ABCA13"	73.2699289565387	0.249650389563309	1.18891896758743	0.241269922754104	1.03473481780713	0.300792771021908	0.613812948950218
"ABCA2"	1219.52983449211	-0.128555651367972	-1.09319870151856	0.141183793332914	-0.910555300528267	0.362529731560562	0.666171002150076
"ABCA3"	226.603232493473	-0.300862619572293	-1.23188076219202	0.153068894844624	-1.96553728226554	0.0493520849944135	0.242505934886342
"ABCA4"	108.617880069306	-1.019425689996	-2.02711184350218	0.301578299073919	-3.38030187558733	0.000724062561045757	0.0149116380579004
"ABCA5"	2784.31085765207	-0.104351745790405	-1.07501124112039	0.157437028739078	-0.662815772287905	0.507448550908684	0.762266111709692
"ABCA6"	229.638672722757	-0.297966041544784	-1.22940992880801	0.196537527646825	-1.51607708264359	0.12949986242883	0.40550461972664
"ABCA7"	328.355344451191	0.437734406617137	1.35447560193325	0.20807527054837	2.10373104628682	0.0354019146598707	0.201940148544843
"ABCA8"	1363.9858763858	-0.638069948674274	-1.5562458054337	0.318873645304546	-2.0010118680861	0.0453911109287471	0.230926272606476
"ABCA9"	87.7255568118629	-0.0775596669888047	-1.05523159535318	0.193318448281225	-0.401201580492602	0.68827171720771	0.871311165142587
"ABCB1"	13352.2352154682	-0.67709218891704	-1.59891382881443	0.26726821332042	-2.53338090790951	0.0112968120029972	0.101224476720569
"ABCB10"	1602.96635110618	-0.0735291093344626	-1.0522876356104	0.0780087427266079	-0.942575239190244	0.345898209816241	0.652247235303653
"ABCB11"	65.3092321998116	-0.452823096201667	-1.36871597034418	0.352467576740067	-1.28472269815504	0.198889203547184	0.504141762541778
"ABCB4"	156.866794039154	-0.281972891589863	-1.21585643688247	0.230507448539678	-1.22327019528536	0.221227660479167	0.529100648780953
"ABCB7"	1132.33972105096	-0.10923609544827	-1.07865693826679	0.0542196113809334	-2.01469713017315	0.0439363930961619	0.227764312309629
"ABCB8"	861.584757030754	0.154517580237824	1.11304936575601	0.0828253682443564	1.86558277389069	0.0620997615440052	0.273694408070184
"ABCB9"	146.688264205717	0.0596766487010292	1.04223213912898	0.0917591049618827	0.650362149083944	0.515458320859293	0.767466353098439
"ABCC1"	1455.68672664755	0.332651565839347	1.25932579569076	0.13585124708966	2.44864565446207	0.0143394439649924	0.118068988750125
"ABCC10"	657.138109789839	0.0999794756750044	1.07175821519034	0.0538810720295468	1.85555839757937	0.0635165281825875	0.277094105185123
"ABCC13"	568.688726527235	0.160527667641681	1.11769586207914	0.206032924610417	0.779135994624254	0.435899608768559	0.717899719166785
"ABCC2"	1354.21136197659	-2.76144487854336	-6.78075011208974	0.372807460969516	-7.40716098160159	1.29031798834445e-13	2.8860656777274e-11
"ABCC3"	5651.72946201586	-0.0292031110560497	-1.02044831382516	0.132767030271114	-0.219957552687712	0.825904213143832	0.931435246761011
"ABCC4"	1207.4478255167	-0.267344578734848	-1.20359046176572	0.123468497876891	-2.16528574763591	0.0303658091470896	0.185984002644393
"ABCC5"	890.741859010373	0.0429657725546653	1.03022951148811	0.109376016085079	0.392826271174879	0.694447799685106	0.874530677216152
"ABCC6"	904.005687931905	-0.0144580719924197	-1.01007195595763	0.187895294161747	-0.0769474938524733	0.938665314887581	0.979113951505152
"ABCC6P1"	263.039015462274	0.184730317581588	1.13660448834535	0.181866226671122	1.01574833856121	0.30974924280687	0.621007556729992
"ABCC6P2"	86.3818181294642	-0.189365915408245	-1.14026244447101	0.180611554435152	-1.04847065848291	0.29442181393465	0.607663293954385
"ABCC8"	51.5137345917896	-0.187204241468936	-1.13855520224098	0.195181655592707	-0.959128258751845	0.337494136016773	0.645841686387358
"ABCC9"	105.099125254459	0.786605324130249	1.72501071599376	0.281032794016683	2.79898054916521	0.0051264225412721	0.0614294560503021
"ABCD1"	910.855588561754	0.0902180565463467	1.06453106914126	0.144446345373553	0.624578325696185	0.532247848657086	0.777772289180997
"ABCD2"	128.544761904	0.244241814652558	1.18447012797909	0.231976568196674	1.05287278172632	0.292399302185011	0.605921856410125
"ABCD3"	7930.42030686899	-0.19890348922376	-1.14782562614561	0.13793566469357	-1.44200189026987	0.149301840356679	0.437845983921784
"ABCD4"	2034.29882673662	0.112479765814555	1.08108485522247	0.0786245406221023	1.43059361523233	0.152546718401036	0.442471838728293
"ABCE1"	2954.40528366921	-0.102179812615231	-1.07339406225079	0.0894239749966713	-1.14264449348214	0.253186224269089	0.565774987998137
"ABCF1"	3305.58636276874	-0.080385819014568	-1.05730075602328	0.0516737252060891	-1.55564203459238	0.119793237351008	0.388750505783711
"ABCF2"	2033.99419713675	-0.0992457937369191	-1.07121331158127	0.0623471325176037	-1.59182611500051	0.11142378058126	0.374236495508622
"ABCF3"	1906.61389691033	2.17638233838286e-05	1.0000150856466	0.0397205140291045	0.000547924011453668	0.999562819912643	0.999675969428141
"ABCG1"	2175.03451540469	-0.0295260266522454	-1.02067674432975	0.142668140004509	-0.206955993477676	0.83604422652146	0.934704122933836
"ABCG2"	8661.99427506118	-0.59639241794925	-1.51193112278914	0.338469067145116	-1.76202931328301	0.0780643449361575	0.310235097151161
"ABCG5"	456.052785101564	-3.26076904467146	-9.58493763322999	0.527041339393629	-6.18693222133777	6.13463254672303e-10	6.69129364818494e-08
"ABCG8"	687.163522738974	-3.0647855201494	-8.36743547183893	0.482366203799043	-6.35364894143	2.10266401470474e-10	2.510410347286e-08
"ABHD10"	1101.97238973571	0.0211358116409346	1.01475806882776	0.0545302792299656	0.387597715240012	0.698313759978342	0.876426176491037
"ABHD11"	1248.9919362687	-0.113465747904016	-1.08182395434041	0.128486593171899	-0.883094065325655	0.377185450386856	0.677186233320031
"ABHD12"	2695.15627389597	-0.00849090604032476	-1.0059028008561	0.109171736413365	-0.0777756800365898	0.938006492354768	0.979006185464191
"ABHD12B"	99.9555898163821	-0.462954061370249	-1.37836126217818	0.619714703091491	-0.747043855923975	0.455037088570105	0.730291131247389
"ABHD13"	1161.46971306403	-0.0468027638512819	-1.03297315646827	0.0587517518239975	-0.796619035147902	0.425672318886549	0.709947696788196
"ABHD14A"	101.318659079499	-0.0330881378958058	-1.02319997770443	0.104338997401743	-0.317121485923469	0.751151422244461	0.901198100968198
"ABHD14B"	2490.24934218828	-0.104547368713908	-1.07515701766645	0.105233981903418	-0.993475366254401	0.320478349397354	0.630429576607418
"ABHD15"	1048.22012874791	-0.205001380471714	-1.15268744977046	0.0922311595729854	-2.22269113194321	0.026236634293185	0.169693019019245
"ABHD16A"	32.0102538005245	0.335781693858809	1.26206104474809	0.178613588681308	1.87993363963998	0.060117122549733	0.269349411939557
"ABHD17A"	631.689956821582	0.187774834491057	1.1390055955136	0.13484516848591	1.39252178331238	0.16376444995688	0.457799057752468
"ABHD17B"	1190.7109066906	-0.0729779980581143	-1.05188573720977	0.108325931649328	-0.673689087617154	0.500509000993788	0.758034974505891
"ABHD17C"	5162.21433367568	0.00585374330864877	1.0040657484909	0.150128916232935	0.0389914445233608	0.968897209709456	0.989562088640315
"ABHD2"	9672.61587283689	0.103694346884941	1.0745214978256	0.100368319610699	1.03313821818621	0.301539220325731	0.614484837176296
