""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	-0.162855266025518	-1.11950057254408	0.206250008053727	-0.789601258988051	0.42976067276734	0.655378535237671
"A1BG-AS1"	69.3079655839883	-0.255577449059992	-1.19381347984281	0.216561659409094	-1.18016018974622	0.237936509266554	0.466681997862139
"A1CF"	4209.32922804507	0.421077833105723	1.33892748989728	0.211080113026202	1.99487212257392	0.0460568286980298	0.173828414927222
"A2M"	24107.715794389	-0.24074740964199	-1.18160465076953	0.197712646499571	-1.21766317888276	0.223351994951852	0.450978193266608
"A2M-AS1"	25.135079797593	-0.347673927165924	-1.27250729517017	0.195265844832938	-1.78051582683792	0.0749915815181061	0.235112774397821
"A4GALT"	188.598842257713	-0.77355614830933	-1.70947834608562	0.261189320219221	-2.96166837013118	0.00305977149239969	0.0327277011323865
"AAAS"	1088.2615964066	-0.00153367809114736	-1.00106362989827	0.0491931375311031	-0.031176667480859	0.975128647520237	0.990487652430592
"AACS"	1603.44237482659	-0.0199260793708105	-1.01390752799119	0.097888601633694	-0.203558729395024	0.838698346975243	0.927222661018116
"AADAC"	5026.48485404449	0.484204505910146	1.39881435438993	0.549956773147621	0.880441026553507	0.378620439509398	0.608589390169295
"AADAT"	104.800746565292	-0.180344325215995	-1.13315430075508	0.145838032818207	-1.2366069517737	0.216233037801863	0.443346654241961
"AAED1"	274.816331693198	-0.347387998846356	-1.27225512141949	0.142525917412092	-2.43736721821574	0.0147946465858384	0.0882520816930614
"AAGAB"	3606.7101290509	-0.043712641314093	-1.03076298905407	0.0844828149690752	-0.517414592897904	0.604866774970674	0.788956663005226
"AAK1"	285.1986767905	0.0340519856902978	1.02388379412069	0.114591611632887	0.297159497148788	0.766344742486668	0.88973553824226
"AAMDC"	597.056042859836	0.110640491007663	1.07970747114687	0.116120009080451	0.952811594520359	0.340685538631198	0.572838278192077
"AAMP"	5226.35493503696	0.0373711582258939	1.02624212989753	0.0672155247045816	0.555989979846823	0.578217704725592	0.769910354545738
"AAR2"	1376.34061623889	-0.00177110682184383	-1.00122839155565	0.0430684840803341	-0.0411230360126038	0.96719781005227	0.98571838179857
"AARS"	3420.10614401234	-0.154573960375617	-1.1130928642786	0.0759405454269506	-2.03546023414206	0.0418045858841212	0.164335268647925
"AARS2"	765.123530721917	0.247590805550063	1.18722288393816	0.0682420496689024	3.6281267451861	0.000285485110026235	0.00616689718112906
"AASDH"	544.370979835791	-0.00848633866964125	-1.00589961631358	0.0590899907863365	-0.143617193990214	0.885802762575512	0.948154519912121
"AASDHPPT"	1288.80449073983	-0.0416229007787661	-1.02927101199675	0.0528627113864613	-0.787377334364771	0.431061010945022	0.656455060191204
"AASS"	212.889505174297	-0.0359714927924652	-1.02524697912542	0.154086295103145	-0.233450306325985	0.81541175329456	0.915570037536689
"AATF"	1938.31797513347	0.0137205820748872	1.00955575017755	0.0456465537076461	0.300583088107019	0.763732429146924	0.888715971223322
"AATK"	499.737588672289	0.49181622536947	1.40621406092503	0.238832761939688	2.05924941526099	0.0394703515776436	0.158581426188486
"AB019441.29"	83.5535469462515	0.0177096153690413	1.0123510215492	0.166454101839448	0.106393385163455	0.915270241165331	0.962668164368535
"ABAT"	1983.34635711958	0.134306028032374	1.09756473102734	0.178710945728294	0.751526592201959	0.452335803145355	0.675544734485703
"ABC7-42389800N19.1"	406.668155904999	0.15867464328483	1.11626119426953	0.198244912526643	0.800397050610341	0.423480789289009	0.649743642223281
"ABCA1"	1626.4074328843	-0.863944109176679	-1.82000713868824	0.178707114320317	-4.83441362960029	1.33538667236775e-06	9.55315081001542e-05
