""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	-0.364128678754772	-1.28710404325942	0.239679795015981	-1.51922976540635	0.12870467148285	0.912558949652743
"A1BG-AS1"	69.3079655839883	-0.10462068385897	-1.07521165658416	0.251927111612236	-0.415281559771149	0.677935798799823	0.984827568015463
"A1CF"	4209.32922804507	0.0563617070170222	1.03984010725585	0.245465034104635	0.229611957656652	0.818393314250013	0.99494905262075
"A2M"	24107.715794389	0.351116070909584	1.27554701069499	0.229930567701628	1.52705259861409	0.126747932556254	0.910421125312604
"A2M-AS1"	25.135079797593	-0.17196159645806	-1.12658923907352	0.227320407708517	-0.756472321123753	0.449366061451381	0.971334755753859
"A4GALT"	188.598842257713	-0.177496099738672	-1.13091938967188	0.30394110530731	-0.583981885435366	0.559232499433777	0.976003595891779
"AAAS"	1088.2615964066	0.0119799223654896	1.00833842199741	0.0571991099687198	0.209442461115934	0.834102848529808	0.996820488058101
"AACS"	1603.44237482659	0.0443120527780471	1.03119133981777	0.113845722246768	0.389228966214452	0.697106777674146	0.984827568015463
"AADAC"	5026.48485404449	0.32326491661323	1.25115880456222	0.639563923816248	0.505445827344862	0.613245738271311	0.982073662559673
"AADAT"	104.800746565292	0.219612268375735	1.16442060045789	0.170696087169302	1.28656884886832	0.198244607222613	0.94290655388076
"AAED1"	274.816331693198	0.099828753742257	1.07164625179736	0.165977054426001	0.601461172374069	0.54753286541916	0.975967713785328
"AAGAB"	3606.7101290509	-0.0146357960290423	-1.01019639329035	0.0982464344422246	-0.148970251308704	0.881577107013478	0.99976129575578
"AAK1"	285.1986767905	-0.107425513729602	-1.07730407332626	0.133096877997043	-0.807122716522237	0.419595785551218	0.970702484272564
"AAMDC"	597.056042859836	0.0168240396743453	1.01172979645677	0.134999816153561	0.124622685820609	0.900822267721068	0.99976129575578
"AAMP"	5226.35493503696	-0.00478136483552952	-1.0033196875533	0.0781613171484349	-0.0611730330292325	0.951221406025099	0.99976129575578
"AAR2"	1376.34061623889	0.0147772839820548	1.01029547010475	0.0500794125891912	0.295077023032898	0.767935041625491	0.989911998161685
"AARS"	3420.10614401234	0.0953547786551313	1.06832809239472	0.0883358594218987	1.07945719076224	0.280383967782679	0.959408348319119
"AARS2"	765.123530721917	0.0540378204549344	1.03816648586787	0.0792773015380712	0.68163042140106	0.495472673730058	0.971927192749517
"AASDH"	544.370979835791	-0.0191582797539591	-1.01336807185252	0.0686769330456149	-0.278962366319332	0.780273706020764	0.989911998161685
"AASDHPPT"	1288.80449073983	-0.0394066973639583	-1.02769110583362	0.0614586599194032	-0.641190312571674	0.521399042854505	0.974521181759922
"AASS"	212.889505174297	0.374490156103654	1.29638133659659	0.179502078482191	2.08627197673819	0.0369539935962608	0.716769557459856
"AATF"	1938.31797513347	-0.0447114105749074	-1.03147682725144	0.0530563430361635	-0.8427156493698	0.399387492754343	0.96965883442831
"AATK"	499.737588672289	0.0859307148291657	1.06137223551438	0.277695718465238	0.309441986733125	0.75698533573906	0.98864419761575
"AB019441.29"	83.5535469462515	0.0554385873888767	1.03917497030541	0.193611962155233	0.286338647528543	0.774618760264777	0.989911998161685
"ABAT"	1983.34635711958	-0.032629538795683	-1.02287477798888	0.207818644716047	-0.157009679474459	0.875237219603471	0.99976129575578
"ABC7-42389800N19.1"	406.668155904999	-0.159923000312828	-1.11722750768472	0.230442278252021	-0.693982898997074	0.48769293345103	0.971334755753859
"ABCA1"	1626.4074328843	-0.27568776075042	-1.21057105442016	0.207857979146106	-1.32632753326557	0.184731230692731	0.93375524491983
