""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	0.314543535637191	1.24361811402129	0.201178233864409	1.56350679492091	0.117933438710667	0.252194585745792
"A1BG-AS1"	69.3079655839883	0.272026775841283	1.20750300204991	0.210806473514318	1.29040997321559	0.196908351194519	0.356675608980742
"A1CF"	4209.32922804507	-0.290381871909784	-1.22296394538459	0.204645753221368	-1.41894892681049	0.155913906573215	0.305582759048661
"A2M"	24107.715794389	0.38211495219614	1.30325098668896	0.191616618404822	1.99416394766376	0.0461341406626169	0.137631312765227
"A2M-AS1"	25.135079797593	-0.227115699173592	-1.17049250717855	0.191814217646222	-1.18403996304633	0.236397243811514	0.402726159364206
"A4GALT"	188.598842257713	0.427618113498802	1.34501113217294	0.25291824087223	1.69073654800101	0.0908871306764765	0.212514966131182
"AAAS"	1088.2615964066	0.00228718899740565	1.00158661595027	0.0476109998043215	0.0480390877487527	0.961685091033789	0.978225352795207
"AACS"	1603.44237482659	-0.0454010319933426	-1.03197000046573	0.0946858655017314	-0.479491123123466	0.631589281777888	0.760541270888325
"AADAC"	5026.48485404449	-0.00307077043724863	-1.00213076272611	0.536024881001687	-0.00572878339436443	0.995429117179403	0.997291631261555
"AADAT"	104.800746565292	0.111660873686695	1.08047139177493	0.137601170045301	0.811482007383615	0.417088921436688	0.584963984584989
"AAED1"	274.816331693198	0.286850611557542	1.21997417762865	0.138490740525244	2.07126202423082	0.0383343161209965	0.121930142245312
"AAGAB"	3606.7101290509	0.0513390629745225	1.03622626940685	0.0818004235144187	0.62761365734828	0.53025705971594	0.681512981512748
"AAK1"	285.1986767905	-0.0793267811921762	-1.05652490902677	0.110782435855782	-0.716059189161038	0.473954801958431	0.633780940714808
"AAMDC"	597.056042859836	-0.500172270716978	-1.41438244222898	0.112866560411995	-4.43153639918863	9.35640145496698e-06	0.000765405619024382
"AAMP"	5226.35493503696	-0.130525668241109	-1.09469249673697	0.0651194606971055	-2.00440339713856	0.0450268657145872	0.135333341924946
"AAR2"	1376.34061623889	0.0591902596332315	1.0418808210328	0.0418059292326596	1.41583408668718	0.156824086970533	0.306841060432877
"AARS"	3420.10614401234	0.324249480612295	1.25201294650632	0.0735838077971878	4.40653304468822	1.05038290344015e-05	0.000814046750166113
"AARS2"	765.123530721917	-0.0300289211187506	-1.02103259372578	0.0665331861065509	-0.451337488492737	0.651746329699825	0.77590309068851
"AASDH"	544.370979835791	-0.0187659250904994	-1.0130925142212	0.0572207665524749	-0.327956548315199	0.742944516620077	0.840665440495566
"AASDHPPT"	1288.80449073983	0.117036799840777	1.08450507172665	0.0512844297790244	2.28211175097526	0.02248274340679	0.0863067729737082
"AASS"	212.889505174297	0.362759532372216	1.28588313526307	0.150267907760967	2.41408520140749	0.0157747731014269	0.0683857312812101
"AATF"	1938.31797513347	0.0877380007231331	1.06270266571477	0.0443439029443486	1.97858092990245	0.0478632084886029	0.140886705646112
"AATK"	499.737588672289	-0.24263630921396	-1.18315272171453	0.232571887990305	-1.0432744529471	0.296821199538317	0.468765921652687
"AB019441.29"	83.5535469462515	-0.422344260027672	-1.34010334358022	0.161260768975287	-2.61901430032493	0.00881842506764266	0.0475500674230228
"ABAT"	1983.34635711958	-0.318388985795661	-1.2469373536999	0.173374623142753	-1.83642207852706	0.0662952566975137	0.173757731777407
"ABC7-42389800N19.1"	406.668155904999	-0.0934524861871777	-1.06692035675469	0.192350719703019	-0.485844224193517	0.627077616317673	0.757326927362781
"ABCA1"	1626.4074328843	-0.136955927991967	-1.09958255832673	0.173114276409273	-0.791130176162818	0.428868031608817	0.595265106180265
"ABCA10"	157.17572700083	-0.743902375572319	-1.67469964744471	0.203933752317764	-3.64776486048857	0.000264531561411722	0.0054234154932132
"ABCA11P"	18.5841702774783	-0.290665039314414	-1.22320400825611	0.161497898010362	-1.79980695040232	0.0718911261150565	0.18272672589946
"ABCA12"	165.608384238606	1.25332968265599	2.38390985465887	0.55347021170971	2.26449347433599	0.0235437806655594	0.0891380151912323
"ABCA13"	73.2699289565387	0.808049011275888	1.75084213803582	0.232831519357997	3.47053102390939	0.000519430334738547	0.00814404082948547
"ABCA2"	1219.52983449211	-0.539782717832852	-1.45375355315846	0.137359991404156	-3.92969388185707	8.50540729653294e-05	0.00272265483568364
"ABCA3"	226.603232493473	-0.00819930786630301	-1.00569950787267	0.149129653480427	-0.0549810696594902	0.956153545200752	0.974784152438109
"ABCA4"	108.617880069306	-0.0303943201696375	-1.02129122883619	0.302377287660193	-0.100517867611122	0.919933198374899	0.95260311857035
"ABCA5"	2784.31085765207	-0.398353890951741	-1.31800321631665	0.153085450112649	-2.60216689867397	0.00926367576948644	0.0489993801695391
"ABCA6"	229.638672722757	0.135886413653289	1.09876770593078	0.19121209732541	0.710658036567811	0.477296169507779	0.636618534497448
"ABCA7"	328.355344451191	0.382836128131558	1.30390262003789	0.201820209999951	1.89691670686326	0.0578389320888998	0.159093077523484
"ABCA8"	1363.9858763858	-0.634261578696614	-1.55214310604137	0.310044503387517	-2.04571141164166	0.0407847723225505	0.126721808851674
"ABCA9"	87.7255568118629	-0.718707995366336	-1.64570756203334	0.18988370935018	-3.78499028603296	0.000153714582541497	0.00389079090813451
"ABCB1"	13352.2352154682	-0.791843239438511	-1.73128500260835	0.259832336021214	-3.04751614661949	0.00230741129330111	0.0203554456079034
"ABCB10"	1602.96635110618	0.018930026106083	1.01320775615469	0.0758539308038187	0.249558933933718	0.802928459799787	0.879532941830155
"ABCB11"	65.3092321998116	-0.112869392202434	-1.0813768615435	0.343115887473135	-0.328954141510778	0.742190350451004	0.840296869698037
"ABCB4"	156.866794039154	0.43929117088326	1.35593796038435	0.223933825841962	1.96170082492711	0.0497973257486107	0.144563500353189
"ABCB7"	1132.33972105096	-0.06087068921667	-1.04309509526092	0.0528090722882112	-1.15265590890258	0.249051645459574	0.416658073780597
"ABCB8"	861.584757030754	0.132287797160311	1.09603038712901	0.0803954792671113	1.64546313258223	0.0998743395015382	0.226195793257137
"ABCB9"	146.688264205717	-0.288755114901083	-1.22158573038276	0.0899362020381238	-3.2106660983825	0.00132427711382061	0.0145043451607192
"ABCC1"	1455.68672664755	0.617793236870936	1.53452615612596	0.131895507312288	4.68395966974212	2.8138539690601e-06	0.000440262260255514
"ABCC10"	657.138109789839	0.0635854914372201	1.04505979524953	0.0522507491097841	1.21692975738243	0.223630942533188	0.388245112454453
"ABCC13"	568.688726527235	-0.210016050136516	-1.15670105225653	0.20030276138587	-1.04849303466133	0.294411509766524	0.466357249168265
"ABCC2"	1354.21136197659	-0.0337813139466464	-1.02369171581717	0.365755451651714	-0.0923603839507886	0.926411713873683	0.956590547033525
"ABCC3"	5651.72946201586	-0.0791332621271654	-1.05638319924425	0.129060171903393	-0.613150137335941	0.539777071194319	0.690117221152181
"ABCC4"	1207.4478255167	0.0901280907419173	1.06446468753933	0.12005616826927	0.750716036012175	0.452823570074354	0.615857405403806
"ABCC5"	890.741859010373	0.0300553733254524	1.02105131480824	0.106306016106377	0.282725046298198	0.777387615070551	0.863166969856518
"ABCC6"	904.005687931905	-0.544877995094412	-1.45889696396389	0.182866660779915	-2.97964644167801	0.00288581254164846	0.0232659880307318
"ABCC6P1"	263.039015462274	-0.421029541678991	-1.33888267263875	0.177067543800253	-2.37779060262985	0.0174167132018109	0.0731179192862911
"ABCC6P2"	86.3818181294642	-0.685146102725635	-1.60786480282343	0.177814672861317	-3.85314716553229	0.000116609254628858	0.00328146270782706
"ABCC8"	51.5137345917896	-0.575401871501657	-1.4900924796646	0.193113411236323	-2.97960596220584	0.00288619387455371	0.0232659880307318
"ABCC9"	105.099125254459	0.524805254350445	1.43873935522033	0.271204733075045	1.93508884745469	0.0529793938482467	0.150184533316755
"ABCD1"	910.855588561754	-0.0969881146420408	-1.06953827666924	0.140426306057362	-0.690669130059026	0.489773493158235	0.647195454988485
"ABCD2"	128.544761904	0.17533856562083	1.12922937652723	0.224896658960741	0.779640597735324	0.435602452610099	0.601272056136858
"ABCD3"	7930.42030686899	-0.110974218786829	-1.07995726063496	0.134090160477721	-0.827608963934885	0.407891990086889	0.577473877480596
"ABCD4"	2034.29882673662	-0.144475818966403	-1.10532897608555	0.0764410461567306	-1.89002932626246	0.0587540380312036	0.160634976328542
"ABCE1"	2954.40528366921	0.372716066867789	1.29478814982302	0.0868992316149147	4.28906055831936	1.7943044924376e-05	0.00109348975737418
"ABCF1"	3305.58636276874	0.0471747016421516	1.03323949916183	0.0502421703296114	0.93894633397929	0.347758298495282	0.519696307037519
"ABCF2"	2033.99419713675	0.0670505490366102	1.04757283123214	0.0606192039483949	1.10609418582419	0.268685755011345	0.438908874091751
"ABCF3"	1906.61389691033	0.021903248818649	1.01529800985019	0.0386149616709288	0.56722181949332	0.570563485517751	0.714576242636546
"ABCG1"	2175.03451540469	-0.271834132919892	-1.20734177506198	0.13871739662264	-1.95962539334108	0.0500395911071643	0.145022072308282
"ABCG2"	8661.99427506118	-0.811311808451334	-1.75480632128024	0.3290486002727	-2.46562911308225	0.0136772872526623	0.0624490092388999
"ABCG5"	456.052785101564	1.33213860460242	2.51775622476467	0.516712229508034	2.57810542992327	0.00993436823647396	0.0510885584221463
"ABCG8"	687.163522738974	0.869049919786551	1.82645969764944	0.473012924984194	1.83726463672339	0.0661708377234939	0.173657909189683
"ABHD10"	1101.97238973571	-0.0369702276251337	-1.02595697281634	0.0530303727159307	-0.697151947680495	0.485707707267255	0.643518019873142
"ABHD11"	1248.9919362687	-0.207024106443706	-1.15430470499487	0.124952764254374	-1.6568189401737	0.0975560865664269	0.222945686708324
"ABHD12"	2695.15627389597	-0.241818195782214	-1.1824819779275	0.106158136550828	-2.27790543088926	0.0227322126442249	0.0870375292358512
"ABHD12B"	99.9555898163821	-0.302663718236392	-1.23341963511722	0.60261830218487	-0.502247802861356	0.615493220978552	0.748206170687338
"ABHD13"	1161.46971306403	0.0851507833411278	1.06079860499154	0.0571073711478786	1.49106466695221	0.135944517725903	0.278379838708623
"ABHD14A"	101.318659079499	-0.131203819996751	-1.09520718773066	0.101970379442398	-1.28668561119621	0.198203890278773	0.358141194521517
"ABHD14B"	2490.24934218828	-0.317899390794299	-1.24651426309468	0.102357027815952	-3.1057895835537	0.00189771702382974	0.0180477178746349
