""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	0.516755955985039	1.43073447876667	0.334241739522522	1.54605453143957	0.122091398553605	0.272605497570927
"A1BG-AS1"	69.3079655839883	0.602707684212635	1.51856397045306	0.351382082670961	1.71524876747065	0.0862996272154177	0.217627288839222
"A1CF"	4209.32922804507	-0.562219405388155	-1.47653894098485	0.341241751317476	-1.64756921806175	0.0994411013907863	0.238448128860794
"A2M"	24107.715794389	0.073571825710507	1.05231879297806	0.319593421699143	0.230204443255924	0.817932909354083	0.893318312131334
"A2M-AS1"	25.135079797593	-0.0772888262277613	-1.05503351267112	0.317414775380407	-0.243494733775812	0.807622164210267	0.887204453938167
"A4GALT"	188.598842257713	1.18357896088211	2.2713955440402	0.422534404435306	2.80114222287743	0.00509220713002495	0.0344352468379414
"AAAS"	1088.2615964066	0.0288118015975983	1.02017157001093	0.079471851410253	0.3625409637038	0.716947817883904	0.829359603404818
"AACS"	1603.44237482659	-0.0464593469081611	-1.03272729836515	0.158090966037728	-0.293877304140666	0.768851661398996	0.86185717643287
"AADAC"	5026.48485404449	-4.41669278251657	-21.3578242852844	0.8902199745341	-4.9613499009928	7.00049555690229e-07	6.31116104543181e-05
"AADAT"	104.800746565292	-0.0745804002378621	-1.05305471635251	0.233616243452198	-0.319243213296179	0.749542090495084	0.849926762436509
"AAED1"	274.816331693198	0.449590307142582	1.36565238720274	0.23106868912183	1.94569982134419	0.0516908081342934	0.155205558238211
"AAGAB"	3606.7101290509	0.0672080864141634	1.04768722885793	0.136498664682725	0.492371750085472	0.622456566219014	0.761348645115625
"AAK1"	285.1986767905	-0.0303226823010225	-1.02124051728015	0.184839300228386	-0.164048891461696	0.869692655314216	0.927035604717512
"AAMDC"	597.056042859836	-0.679121394381514	-1.60116434429449	0.187834011391094	-3.61554006833991	0.000299722109342345	0.00555145667932834
"AAMP"	5226.35493503696	-0.108851223773049	-1.07836922040448	0.108624958098766	-1.00208299895571	0.316303508212248	0.503203654462089
"AAR2"	1376.34061623889	-0.0108014038301543	-1.00751505999311	0.0696515994878165	-0.155077613573593	0.876760130445503	0.931968693968562
"AARS"	3420.10614401234	0.34588328406933	1.27092886532579	0.122774513542091	2.81722382024142	0.0048440755529024	0.0333053754940799
"AARS2"	765.123530721917	-0.201403748351989	-1.14981658726935	0.110511847367618	-1.82246295894429	0.0683847691550176	0.185533967916728
"AASDH"	544.370979835791	0.021681289857288	1.015141818035	0.0954546594509277	0.227137051056519	0.820317174291946	0.894587697941041
"AASDHPPT"	1288.80449073983	0.144498528366465	1.10534637515796	0.085485343595738	1.69033102387471	0.0909646429885212	0.225023833348337
"AASS"	212.889505174297	0.132478583535076	1.09617533910111	0.250259412829333	0.529365037811468	0.596552246635815	0.743114430599566
"AATF"	1938.31797513347	0.0786259931136886	1.05601182743668	0.0738422741344046	1.06478293139479	0.286974170905176	0.472894592960916
"AATK"	499.737588672289	-0.469951109069623	-1.38506252947094	0.386827155486864	-1.21488655179375	0.224409363628145	0.405069405541723
"AB019441.29"	83.5535469462515	-0.388649419405751	-1.30916725161271	0.268953741229152	-1.44504187831548	0.148446122930977	0.308693202745103
"ABAT"	1983.34635711958	-0.488312593818443	-1.40280316802156	0.288982943195516	-1.68976268432586	0.0910733654625106	0.225135194141377
"ABC7-42389800N19.1"	406.668155904999	0.0581775171815979	1.04114969862339	0.320540465939193	0.181498198709907	0.855976546894311	0.918008350547613
"ABCA1"	1626.4074328843	0.152707734856734	1.11165393278265	0.288824118034321	0.528722240704939	0.596998146399355	0.743355453940992
"ABCA10"	157.17572700083	-0.656060594124003	-1.5757739542332	0.338302615767952	-1.93927142015954	0.0524682970331856	0.15665996850237
"ABCA11P"	18.5841702774783	-0.504820105424258	-1.4189464118907	0.265049817685838	-1.9046234773216	0.0568290325443887	0.164888178170665
"ABCA12"	165.608384238606	5.34015647217386	40.5086042609743	0.963846337838033	5.54046455595003	3.01670295179754e-08	5.45391331683244e-06
"ABCA13"	73.2699289565387	1.08729297940737	2.1247498188061	0.39025405303225	2.78611579036572	0.0053343813162667	0.0353292795571337
"ABCA2"	1219.52983449211	-0.672849690027719	-1.59421884765516	0.229061318950124	-2.93742170485897	0.00330953728676965	0.0264147734205292
"ABCA3"	226.603232493473	0.193000839223172	1.14313900038372	0.247861243040408	0.778664856416084	0.43617716323624	0.616011111039524
"ABCA4"	108.617880069306	-1.23335371660432	-2.3511290305102	0.477049953369472	-2.58537645354112	0.00972727267364748	0.0524506890886027
"ABCA5"	2784.31085765207	-0.490388050279139	-1.40482268845135	0.255222027997248	-1.92141741889312	0.054679104261641	0.160815541328761
"ABCA6"	229.638672722757	-0.243077359865864	-1.18351448219593	0.318017209132401	-0.764352849108436	0.444656999105389	0.62284500379648
"ABCA7"	328.355344451191	1.29618809961565	2.45579153482205	0.336802759746975	3.84850795340696	0.000118839439385074	0.00294928777237958
"ABCA8"	1363.9858763858	-1.80339141540888	-3.49039766914451	0.517079681533461	-3.48764702968159	0.00048729091613404	0.00772929128194658
"ABCA9"	87.7255568118629	-1.07840320781941	-2.11169753502832	0.314312790426916	-3.43098734975012	0.000601388644969672	0.00889994753485268
"ABCB1"	13352.2352154682	-1.67761502194395	-3.19898676115168	0.433299834178162	-3.87171858749005	0.000108070680630265	0.00276354403290417
"ABCB10"	1602.96635110618	-0.18107453442073	-1.1337279834211	0.126317434803925	-1.43348805888752	0.151718409021148	0.31311192331274
"ABCB11"	65.3092321998116	2.07118672588797	4.20232204118047	0.581541559578441	3.56154550224986	0.00036867819667835	0.00633094629281481
"ABCB4"	156.866794039154	0.512501795990832	1.42652180172492	0.372204646466282	1.37693551345082	0.168532186193723	0.336151228134448
"ABCB7"	1132.33972105096	-0.16486899230611	-1.1210642722349	0.0879405300135427	-1.87477824253187	0.0608232376143781	0.171547742800648
"ABCB8"	861.584757030754	0.226805351923417	1.17024074221646	0.134210068468644	1.68992799505504	0.091041731005967	0.225088482842512
"ABCB9"	146.688264205717	-0.266629725001808	-1.20299423180439	0.148116523458702	-1.8001349125383	0.0718393380798008	0.192391801132174
"ABCC1"	1455.68672664755	1.04682171188939	2.06597344679742	0.220090966448531	4.75631384959272	1.97159871675074e-06	0.000141618493190998
"ABCC10"	657.138109789839	0.172998881836641	1.12739953835206	0.087086538233214	1.98651692151727	0.046975955811896	0.145855761587806
"ABCC13"	568.688726527235	-0.44121529032427	-1.35774757855739	0.333735295219267	-1.32205162787588	0.186150959774237	0.358544523567774
"ABCC2"	1354.21136197659	-2.65944120859278	-6.31788294889534	0.602990100235945	-4.41042267120498	1.03169044102683e-05	0.000481001849418048
"ABCC3"	5651.72946201586	0.160025547790287	1.11730692359128	0.215305308803277	0.743249428821568	0.457330682661643	0.632615716504714
