""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	0.152627277230259	1.11159193870879	0.232961662726074	0.655160490546998	0.512364429135055	0.630509050965695
"A1BG-AS1"	69.3079655839883	0.498087000353664	1.4123395716127	0.244953257698101	2.03339610599319	0.0420125204467204	0.092078568423863
"A1CF"	4209.32922804507	-0.505857698371148	-1.41996729178052	0.237050310850055	-2.13396766516423	0.0328454277743918	0.075757565431863
"A2M"	24107.715794389	0.424687896620086	1.34228209068132	0.221972721814364	1.91324363259037	0.055716870095748	0.115188615255864
"A2M-AS1"	25.135079797593	-0.249250422685829	-1.18858940223723	0.221534583912254	-1.12510840648047	0.260543099471883	0.379350409333237
"A4GALT"	188.598842257713	1.00608286114343	2.00845043845185	0.293521936890459	3.42762408766366	0.000608887958624128	0.00321838176155799
"AAAS"	1088.2615964066	0.0407917239630841	1.02867819107145	0.0551727920751783	0.739344927613986	0.45969757454158	0.583378508898215
"AACS"	1603.44237482659	-0.00214729413011408	-1.00148949907556	0.109690040882762	-0.0195760172284841	0.984381595646411	0.989252277488033
"AADAC"	5026.48485404449	-4.09342786589326	-17.0704343903078	0.619233066310477	-6.61048010611381	3.8307559714522e-11	2.88040246874725e-09
"AADAT"	104.800746565292	0.145031868137871	1.10575507841712	0.159497319820235	0.90930598897419	0.363188630170913	0.487940107073059
"AAED1"	274.816331693198	0.549419060884841	1.46349626200393	0.160761800489265	3.41759708595407	0.00063176557131071	0.00330764374668452
"AAGAB"	3606.7101290509	0.0525722903851249	1.03711242270967	0.0947603481397497	0.554792077247256	0.579036886889562	0.688114990338191
"AAK1"	285.1986767905	-0.137748196030622	-1.10018656911172	0.128260625198752	-1.07397103216337	0.282835664959778	0.404476060200654
"AAMDC"	597.056042859836	-0.66229735470716	-1.58260075951306	0.130601169496218	-5.07114413494084	3.95431132126059e-07	8.54189254849323e-06
"AAMP"	5226.35493503696	-0.113632588608584	-1.08194906928333	0.0754333482194151	-1.50639725387845	0.131965225240188	0.225943190213249
"AAR2"	1376.34061623889	0.00397588015189282	1.00275967101838	0.0484086536266259	0.0821315994978632	0.934542065235871	0.955908353862183
"AARS"	3420.10614401234	0.441238062724462	1.35776901026289	0.0852663891325452	5.17481820461008	2.28132999068092e-07	5.46220879882546e-06
"AARS2"	765.123530721917	-0.147365927897055	-1.10754546878688	0.0769933625026164	-1.9140082093706	0.0556191068122931	0.115013413384812
"AASDH"	544.370979835791	0.00252301010333407	1.0017503474125	0.06629533074324	0.0380571312496444	0.969642130836832	0.978943546493464
"AASDHPPT"	1288.80449073983	0.1050918310025	1.07556285043582	0.0594186594480543	1.76866714898499	0.0769494375874274	0.148354993563075
"AASS"	212.889505174297	0.506968739638737	1.42106125124813	0.174381127219248	2.90724545553218	0.00364626962671352	0.0133439077368044
"AATF"	1938.31797513347	0.0339145825387838	1.02378628345013	0.05135860115871	0.660348642167646	0.509030121782043	0.62745463912722
"AATK"	499.737588672289	-0.384020394240457	-1.30497339493688	0.269296001024865	-1.42601595559898	0.153863736474491	0.254031730784484
"AB019441.29"	83.5535469462515	-0.333210832016877	-1.25981407272343	0.186682947886491	-1.78490234801455	0.0742771577510175	0.144275846703361
"ABAT"	1983.34635711958	-0.520942132614131	-1.43489197905216	0.200804761811732	-2.59427180866632	0.00947915144000146	0.0285343451354047
"ABC7-42389800N19.1"	406.668155904999	-0.101745483131234	-1.07307096103656	0.222806074195621	-0.456654889228479	0.647919119835466	0.744342425557031
"ABCA1"	1626.4074328843	-0.122980025893687	-1.08898193828173	0.200535362625999	-0.613258550927232	0.539705395455094	0.655390992900249
"ABCA10"	157.17572700083	-0.682642309223001	-1.60507677763226	0.235988195764133	-2.89269684448663	0.00381949759568632	0.0138669657932561
"ABCA11P"	18.5841702774783	-0.572157016656888	-1.48674478646565	0.183693319987127	-3.11474046359979	0.00184106824224549	0.00776227054175083
"ABCA12"	165.608384238606	5.65536402340611	50.4004260222536	0.646691778424113	8.74506868973555	2.22880014677329e-18	1.06440266468876e-15
"ABCA13"	73.2699289565387	1.0576994008392	2.08160942716212	0.270565970778892	3.90921074736169	9.25981563460967e-05	0.000696852394648863
"ABCA2"	1219.52983449211	-0.66833836920082	-1.58924149664082	0.159073371492923	-4.201447187096	2.65214122273636e-05	0.000255107977167945
"ABCA3"	226.603232493473	-0.309061927438593	-1.23890187629432	0.172479274565059	-1.79187863711715	0.0731524086870562	0.142561272912792
"ABCA4"	108.617880069306	-1.04982001016565	-2.07027154563874	0.342401598471534	-3.06604880015747	0.00216907909631243	0.00881500175525313
"ABCA5"	2784.31085765207	-0.502705636742142	-1.41686827337321	0.177317439796377	-2.8350603151017	0.00458170346454266	0.0160187376767845
"ABCA6"	229.638672722757	-0.162079627891497	-1.11889885566537	0.221297779162686	-0.732405126272617	0.463921330833141	0.587129508325862
"ABCA7"	328.355344451191	0.820570534748691	1.76610428613816	0.234096057380943	3.50527276678301	0.000456139693843434	0.00255224458208153
"ABCA8"	1363.9858763858	-1.27233152737089	-2.41551619820971	0.359115620668948	-3.54295790587119	0.000395665852978556	0.00227659251778935
"ABCA9"	87.7255568118629	-0.796267662355141	-1.73660261616923	0.219310302602729	-3.63078092048208	0.000282564963134105	0.00172348046205718
"ABCB1"	13352.2352154682	-1.46893542835555	-2.76817553228952	0.300976181336503	-4.88057035554327	1.05779467801505e-06	1.89374183997223e-05
"ABCB10"	1602.96635110618	-0.0545990832283758	-1.03857045035267	0.0878516447392223	-0.621491872923347	0.53427604013533	0.650675968653338
"ABCB11"	65.3092321998116	-0.565692488404104	-1.48009778035525	0.397105955799314	-1.42453791020447	0.15429081905351	0.254486957217914
"ABCB4"	156.866794039154	0.157318279293408	1.11521222346042	0.259225460627764	0.606878193648231	0.543931750663016	0.659254683737944
"ABCB7"	1132.33972105096	-0.170106784664942	-1.12514176177525	0.061113416958749	-2.7834605415659	0.0053782403936069	0.018198680152247
"ABCB8"	861.584757030754	0.286805377364216	1.21993592721458	0.0932137006241928	3.07685861030796	0.00209194502249858	0.00857449977906515
"ABCB9"	146.688264205717	-0.229078466200055	-1.17208603008891	0.104070506476825	-2.20118527290024	0.0277229104462803	0.0664312215331939
"ABCC1"	1455.68672664755	0.950444802710283	1.9324683725716	0.152881557605829	6.2168702202838	5.07168889232562e-10	2.79179883885962e-08
"ABCC10"	657.138109789839	0.163564967112228	1.12005142092382	0.0606309574724745	2.69771374114427	0.00698174484550419	0.0224753928620986
"ABCC13"	568.688726527235	-0.0494883824948345	-1.03489785683275	0.232064534007855	-0.213252674332216	0.831129884865253	0.882788234285226
"ABCC2"	1354.21136197659	-2.79522619249001	-6.94139771677263	0.420747421069643	-6.64347789793664	3.06366439097309e-11	2.38540004735954e-09
"ABCC3"	5651.72946201586	-0.108336373183218	-1.07798445442203	0.149503658165976	-0.724640283135714	0.468672739131433	0.591405220342243
"ABCC4"	1207.4478255167	-0.177216487992933	-1.13070022505678	0.13903369979735	-1.27462973546153	0.202440327506166	0.314776538809746
"ABCC5"	890.741859010373	0.073021145880128	1.05191719725919	0.123160634152046	0.592893552252912	0.553252393357806	0.666535980933983
"ABCC6"	904.005687931905	-0.559336067086831	-1.47359090993166	0.211769461397732	-2.64124989219443	0.00826007694229199	0.025624220430179
"ABCC6P1"	263.039015462274	-0.2362992240974	-1.17796708210071	0.205149649039672	-1.15183830537143	0.249387523962751	0.367437467557893
"ABCC6P2"	86.3818181294642	-0.874512018133882	-1.83338785044634	0.205108336867892	-4.26365905690683	2.01106227045346e-05	0.000204344280154759
"ABCC8"	51.5137345917896	-0.762606112970587	-1.69655254454228	0.222332105685566	-3.43003144156384	0.000603511312505813	0.00319761466026318
