GeneSymbol	ENTREZ.ID	log2FC_rectum	pvalue_rectum
AADAC	13	-4.09035709547371	9.75668224326964e-14
ABCA12	26154	4.40203434075012	2.07422499645721e-14
ABCA4	24	-1.019425689996	0.000724062561045757
ABCA8	10351	-0.638069948674274	0.0453911109287471
ABCB1	5243	-0.67709218891704	0.0112968120029972
ABCC2	1244	-2.76144487854336	1.29031798834445e-13
ABCC9	10060	0.786605324130249	0.0051264225412721
ABCG5	64240	-3.26076904467146	6.13463254672303e-10
ABCG8	64241	-3.0647855201494	2.10266401470474e-10
ACE	1636	-1.13514899746647	8.05831450742576e-05
ACE2	59272	-1.06001679374607	0.000864926796193213
ACKR4	51554	1.39044974522759	0.000120493857393422
ACOT12	134526	-3.08098083143474	9.95748800188599e-09
ACPP	55	0.723781097437323	0.000335163514351287
ACSL1	2180	0.880715807385008	0.000877364443503856
ACSL4	2182	0.988374757062788	0.000144211144280262
ACSM1	116285	0.580879182444355	0.0446686605248481
ACTBP9	69	0.808806019931758	0.000252633076069877
ACTG2	72	0.757514252820258	0.0126500613091145
ADA	100	0.728127803304116	0.0027160521818867
ADAM12	8038	2.09719218182514	3.20179832135025e-07
ADAM33	80332	0.677361860864899	0.0135476167157178
ADAM8	101	1.08755505663471	0.00013490119752997
ADAMDEC1	27299	-0.790642513506513	0.000964305087898701
ADAMTS12	81792	1.5099475980722	4.90695342237587e-06
ADAMTS2	9509	1.81050429194564	2.97673930096267e-07
ADAMTS4	9507	2.82758956329845	2.65223433644472e-10
ADAMTS6	11174	0.958153646648078	0.00140271300663374
ADAMTS7	11173	0.844769393855356	0.000643861754152263
ADAMTS9	56999	0.776014663235696	0.00132383654072838
ADCYAP1	116	1.38632090461763	0.00513128902831046
ADIRF	10974	-0.847467888059895	0.000817117598317929
ADM	133	1.17846315385753	1.45180762014889e-05
ADM2	79924	0.595803863982487	5.91875279286343e-05
ADORA1	134	0.68221271867334	0.00930761538765451
AFAP1-AS1	84740	2.03989433339204	0.00145115033975579
AGAP4	119016	-0.636860199714778	0.0293363787642517
AGMO	392636	-1.12870176692989	0.000520514541935179
AGPAT4	56895	0.980073681719735	6.98808722037941e-05
AGT	183	0.685930457485278	0.029036404187061
AGXT2	64902	-3.74399900846574	9.8167099027257e-14
AK7	122481	0.598633548533283	0.000220499306298674
ALDH1A2	8854	1.31117706823486	0.00494612080625788
ALDOB	229	-3.57223992682706	3.11058300450021e-13
ALOX15	246	0.908338248166668	0.0041500752144284
ALOX5	240	0.581525475758398	0.0132507694752117
ALPI	248	-0.704751296893649	0.0162966022726425
ALPL	249	1.81081347056073	9.71984801573779e-07
ANGPT2	285	1.15203184583877	3.18501448224179e-05
ANGPTL2	23452	1.49886956388992	4.79937937060805e-06
ANGPTL4	51129	1.52443166758219	6.25632986255228e-05
ANK1	286	0.902316803430955	0.00662048493142986
ANKRD22	118932	0.830572296873395	0.0040759977568409
ANKRD36BP2	645784	0.850745418501874	0.00702578126761426
ANPEP	290	-1.46864546857813	9.91648236828553e-06
ANXA1	301	1.33301482873822	7.7813943230431e-07
ANXA2P1	303	0.816166760276347	0.00159175669108785
AOX1	316	1.49416760884684	9.26064099400884e-05
APBA2	321	0.71510627964272	0.00666522779021407
APIP	51074	0.715659919035967	1.6710148964281e-05
APLN	8862	1.84312615286433	4.26802502464924e-10
APOA1	335	-4.28392447922306	3.99377037256012e-16
APOA4	337	-3.87999511596949	5.76189494718128e-14
APOB	338	-4.81465982130872	1.76656121294288e-18
APOBEC3A	200315	2.14819945777454	1.74133119906194e-05
APOBEC3G	60489	0.580005890880763	0.00960085344489334
APOBEC3H	164668	0.917515148947907	0.00120122460251721
APOC1	341	0.650538952299465	0.0240189551145103
APOC3	345	-3.76346157197464	6.06137736059911e-13
APOL1	8542	1.39518932943146	4.4114497232774e-11
APOL2	23780	0.854175831114176	9.36985940866168e-08
APOL3	80833	0.869832609692291	4.93750202079211e-05
APOL4	80832	0.787637845298908	0.000803712878283855
AQP9	366	7.03509422435378	4.44451994972104e-27
ARG2	384	-0.854105915918781	0.00730646069829756
ARHGDIG	398	-1.19993248410636	0.000937173537193318
ARID5A	10865	0.739951836706873	0.00136929818123291
ARNTL2	56938	0.943252797540415	1.60012538628071e-05
ART3	419	0.921407277127258	0.00553469363495613
ASAH2	56624	-0.841883987584756	0.0102198075666183
ASGR1	432	0.651129375404627	0.00172201461481306
ASGR2	433	0.647389305405321	0.0330965712838928
ASPA	443	-0.994293303191395	0.000163831760812515
ASPG	374569	-0.852789043889706	0.0191855610454442
ASS1	445	1.15489845806198	3.22511488561318e-06
ASS1P1	442167	1.14013850584507	2.06522530119838e-05
ASS1P11	340274	1.24181812103231	9.37265378617823e-06
ASS1P9	454	1.13809993642308	2.78908250437933e-05
ASXL3	80816	-0.824331958206221	6.51340882051208e-05
ATF3	467	0.855892421274242	0.0100780868239173
ATF4P3	643159	0.624300127053127	0.00426226805016012
AZGP1	563	1.02109393747772	0.000224335331516855
BACE2	25825	0.863626855556781	1.7182281629805e-06
BATF	10538	1.04099440265095	0.00112693325562128
BATF2	116071	0.97072997302694	7.22229284488576e-06
BATF3	55509	1.07069279375603	0.000257883649999881
BCAN	63827	-1.42317193765003	0.00518382002546947
BCAT1	586	0.862154450929474	0.00422562842813884
BCL2A1	597	1.73515022276119	4.17496451905112e-06
BCL3	602	0.684301564702174	4.24612855618913e-05
BEST1	7439	0.624195799271641	0.0119889551141597
BGN	633	1.61283520898531	2.23191903779605e-06
BHLHA15	168620	0.984974904974876	0.000889870432775688
BHLHE22	27319	1.05979657042829	0.00205696588311315
BHLHE40	8553	0.589575841356104	0.000653624301900748
