ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP5095	Overview of proinflammatory and profibrotic mediators	40/642	73/6026	8.61753058483126e-21	4.1622672724735e-18	3.3744435553234e-18	6356/6357/6361/6362/6347/6364/6370/10344/6348/6351/9560/1437/1440/2919/3627/6373/284340/2920/2921/6374/6372/4283/3458/3586/3589/3605/29949/3552/3553/3557/51561/11009/3569/4312/4314/4318/5008/5196/6696/7124	40
WP5055	Burn wound healing	37/642	97/6026	6.70245349066507e-13	1.36891635702641e-10	1.10981123420252e-10	8038/6347/57124/1277/1278/2919/3579/2162/2200/3082/3383/3552/3553/3569/3624/3853/23643/440823/4312/4322/4313/4314/4318/64332/64127/5159/6282/6280/6423/6678/7042/7043/7076/7097/51311/3371/7124	37
WP5115	Network map of SARS-CoV-2 signaling pathway	55/642	189/6026	8.50258606848701e-13	1.36891635702641e-10	1.10981123420252e-10	59272/183/335/341/8542/684/715/838/6356/6347/6364/10344/6348/6351/1234/1051/629/3426/5199/1294/2919/3627/2920/2921/6374/6372/4283/3577/3579/84985/3091/10964/8519/10410/3458/3586/3605/8807/3552/3553/3569/3699/3726/116844/64386/114548/4939/5196/5743/6288/6289/6403/5054/6772/7124	55
WP2806	Complement system	30/642	75/6026	2.61045343356489e-11	3.1521225210296e-09	2.55549651917405e-09	133/335/715/717/720/722/728/27202/958/1604/22918/629/3426/5199/2162/2214/2219/2357/2769/3383/3687/3689/5648/5329/6401/6402/6403/710/6696/7097	30
WP4891	COVID-19 adverse outcome pathway	11/642	13/6026	1.18419558907171e-09	1.14393293904327e-07	9.27412124494051e-08	59272/183/6347/6348/1440/3627/3586/3553/3559/3569/7124	11
WP3624	Lung fibrosis	22/642	52/6026	3.48647272578983e-09	2.80661054426081e-07	2.27538219998915e-07	6356/6347/6348/6351/1232/1051/1215/1437/1440/2920/57105/2252/26585/3082/3553/3569/4313/4318/5328/6696/7076/7124	22
WP691	Tamoxifen metabolism	12/642	17/6026	7.25872006300768e-09	5.0085168434753e-07	4.06051708787798e-07	1545/1557/1558/1559/1565/1576/2326/2328/6783/6822/54657/7364	12
WP619	Type II interferon signaling	17/642	34/6026	9.78445536439446e-09	5.90736492625315e-07	4.7892334152036e-07	4261/3627/4283/2633/3383/3433/3458/3553/3659/9636/4843/5698/8651/9021/6688/6772/6890	17
WP5088	Prostaglandin signaling	15/642	28/6026	2.19794098169942e-08	1.14576489793736e-06	9.28897334712208e-07	834/6347/6348/2919/3627/4283/3458/3605/3552/3553/3569/4318/114548/9536/7124	15
WP2882	Nuclear receptors meta-pathway	59/642	268/6026	2.37218405370053e-08	1.14576489793736e-06	9.28897334712208e-07	5243/1244/64240/64241/51129/335/345/8553/330/874/6347/6364/1545/1555/1557/1559/1576/1551/1907/9982/2938/2939/1839/3082/3458/3589/3553/3726/23764/4199/8431/9971/9970/5142/5743/6286/6319/5272/6514/6515/11182/115584/159963/6527/200010/11254/340024/6532/23657/8140/5552/27286/2040/6822/7042/7056/7124/54657/7364	59
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	23/642	62/6026	3.11262399040989e-08	1.36672489760725e-06	1.10803456883491e-06	59272/6347/6348/6351/1437/2919/3627/6373/284340/2920/2921/6374/6372/4283/3579/3433/8519/3586/3569/3902/5196/6772/7124	23
WP2865	IL1 and megakaryocytes in obesity	13/642	23/6026	8.42655044760238e-08	3.39168655515996e-06	2.7497164618492e-06	6347/1232/2205/1839/3383/3458/3553/4318/114548/7941/6280/7076/7097	13
WP455	GPCRs, class A rhodopsin-like	33/642	118/6026	1.05573767521236e-07	3.92247151636593e-06	3.18003575043724e-06	51554/134/27202/1230/2826/1232/1234/1237/10803/3577/3579/57105/1909/2151/2867/2357/2358/29909/2828/8111/8843/3274/3352/4543/64106/4888/53829/5031/5724/5737/5739/6752/56670	33
WP2328	Allograft rejection	25/642	76/6026	1.24139418757474e-07	4.28280994713287e-06	3.47217020885568e-06	5243/717/720/721/958/1604/941/1493/6373/4283/50943/10578/3002/3119/3134/3458/3586/3605/3552/3553/3559/120892/5551/6772/7124	25
WP5198	Inflammatory bowel disease signaling	16/642	35/6026	1.33675541069652e-07	4.3043524224428e-06	3.48963517739724e-06	50943/3458/3586/3594/3595/8807/3552/50615/51561/3569/4094/64127/6772/30009/7097/7124	16
WP129	Matrix metalloproteinases	13/642	24/6026	1.66070703662628e-07	5.01325936681557e-06	4.06436195805904e-06	4312/4319/4321/4322/4327/4313/10893/64386/4314/4316/4318/7076/7124	13
WP1533	Vitamin B12 metabolism	16/642	37/6026	3.45283809029896e-07	9.79043020555119e-06	7.93732164425203e-06	335/338/875/6347/8029/3383/3458/3553/3569/3949/6288/6289/5054/6648/6947/7124	16
WP3617	Photodynamic therapy-induced NF-kB survival signaling	15/642	33/6026	3.64860753001908e-07	9.79043020555119e-06	7.93732164425203e-06	597/330/1437/2920/3383/3552/3553/3569/4312/4313/4314/4318/5743/6401/7124	15
WP4754	IL-18 signaling pathway	51/642	239/6026	6.229851319708e-07	1.51347005232631e-05	1.22700416141525e-05	321/467/330/6362/6347/6364/6348/6351/1051/9076/24146/6900/1277/1278/1281/2920/2921/338442/3383/3458/3586/8807/3553/3559/3569/3659/3801/4312/4322/4313/4314/4318/4688/64332/4843/8431/7941/5743/6004/8698/9021/6696/30009/7052/7076/7124/7127/4982/79931/7185/80149	51
WP530	Cytokines and inflammatory response	11/642	19/6026	6.2669567384112e-07	1.51347005232631e-05	1.22700416141525e-05	1437/1440/2919/2920/3458/3586/3589/3552/3553/3569/7124	11
WP15	Selenium micronutrient network	20/642	59/6026	1.33617040138572e-06	3.07319192318715e-05	2.49150571085457e-05	240/335/338/875/6347/1734/3383/3458/3553/3569/8564/8942/3949/5743/6288/6289/5054/6648/7124/7498	20
WP2877	Vitamin D receptor pathway	35/642	143/6026	1.46755649330343e-06	3.22195357393435e-05	2.61211012205204e-05	5243/240/248/768/838/875/958/634/1493/1594/1555/1559/1565/1576/168002/1673/50486/3091/3488/3726/5653/639/6273/6279/6280/10568/6696/6699/79689/412/6822/7042/7056/4982/54210	35
WP4462	Platelet-mediated interactions with vascular and circulating cells	10/642	17/6026	1.70671313527002e-06	3.58409758406704e-05	2.90570840421257e-05	6347/958/3383/3553/5196/6401/6403/7042/7043/7097	10
WP24	Peptide GPCRs	16/642	41/6026	1.8343794276629e-06	3.69168859817158e-05	2.99293485566051e-05	728/1230/2826/1232/1234/1237/10803/3577/3579/10663/1909/2357/2358/4888/6752/7253	16
WP4494	Selective expression of chemokine receptors during T-cell polarization	11/642	24/6026	1.25270168047332e-05	0.000234229715723125	0.000189895290942579	6348/6351/1230/1232/1234/1437/3458/3594/3595/7042/7043	11
WP702	Metapathway biotransformation Phase I and II	30/642	125/6026	1.26086389416175e-05	0.000234229715723125	0.000189895290942579	50515/9435/9469/1545/56603/1594/1555/1562/1557/1558/1559/1565/1576/1551/8529/260293/9420/2326/2327/2328/92292/2938/2939/9027/4837/6783/6822/54657/79799/7364	30
WP43	Oxidation by cytochrome P450	14/642	38/6026	1.78124839365412e-05	0.000318645545975903	0.000258333100366211	1545/56603/1594/1555/1562/1557/1558/1559/1565/1576/1551/8529/260293/9420	14
WP5218	Extrafollicular B cell activation by SARS-CoV-2	19/642	65/6026	2.78407739793159e-05	0.000480253351143199	0.000389352177455094	720/958/941/83416/29851/3433/8519/3458/3586/3569/9636/3687/3689/4094/639/6402/57823/30009/7124	19
WP5090	Complement system in neuronal development and plasticity	23/642	93/6026	7.8693605508241e-05	0.00131065556760277	0.00106257790377734	715/717/720/721/722/725/728/27202/843/1604/629/3426/5199/10584/2219/8547/3458/3687/3689/5648/710/7042/7043	23
WP2876	Pregnane X receptor pathway	11/642	29/6026	0.000105295065715552	0.00169525055802038	0.00137437769986615	5243/1244/1555/1557/1559/1576/1551/2939/27286/6822/54657	11
