""	"baseMean"	"log2FoldChange"	"FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"7SK"	172.326485879382	-0.161916258406936	-1.11877215974223	0.207108803751998	-0.781793219185519	0.434336106715397	0.716949421677824
"A1BG-AS1"	69.3079655839883	0.226060224512385	1.16963648886591	0.218075009372247	1.03661682814149	0.299914467470679	0.613056968080443
"A1CF"	4209.32922804507	-0.215475826461369	-1.16108679829804	0.210501482742373	-1.02363092009705	0.306009635018469	0.618176546333183
"A2M"	24107.715794389	0.0425729444239509	1.02994903083981	0.197129966375852	0.215963839524938	0.829015934292798	0.932148365189548
"A2M-AS1"	25.135079797593	-0.022134723512202	-1.01546092345544	0.195241780892747	-0.113370833901384	0.909736561781681	0.967036338006515
"A4GALT"	188.598842257713	0.57846474764463	1.49325934217889	0.260956042375032	2.21671336819744	0.0266426846877074	0.17156568455969
"AAAS"	1088.2615964066	0.0385045349656887	1.02704865928692	0.0489852083462373	0.786044119554028	0.431841640090024	0.714948166437808
"AACS"	1603.44237482659	0.043253737863226	1.03043516823522	0.0974032540551925	0.444068714980679	0.656992904399186	0.85417295421482
"AADAC"	5026.48485404449	-4.09035709548067	-17.0341386828228	0.549472309945215	-7.44415509470986	9.75668224232379e-14	2.2527436880519e-11
"AADAT"	104.800746565292	0.0333709944511787	1.0234006072115	0.141740218167238	0.235437724611123	0.813869008836546	0.926853917642547
"AAED1"	274.816331693198	0.2625684493273	1.19961249085504	0.142993437474113	1.83622727004402	0.0663240511122083	0.282831923184278
"AAGAB"	3606.7101290509	0.00123322741059979	1.00085517355522	0.0841548930714687	0.0146542567590511	0.988308013253726	0.996690628051472
"AAK1"	285.1986767905	-0.058421414838442	-1.04132572711908	0.113807850662948	-0.513333785834004	0.60771785431212	0.826951087591329
"AAMDC"	597.056042859836	-0.162125083990178	-1.1189341102248	0.11574450798562	-1.40071513380419	0.161299275308136	0.454712198828043
"AAMP"	5226.35493503696	0.01689307963253	1.0117782137953	0.0669794755695843	0.252212778450019	0.800876601509759	0.921081069296891
"AAR2"	1376.34061623889	-0.0552143794813284	-1.0390134856288	0.0429910097618188	-1.28432385717921	0.199028662652558	0.504278243342515
"AARS"	3420.10614401234	0.116988582112164	1.08446882602267	0.0757512533671671	1.54437817081546	0.122496745132433	0.393478765079726
"AARS2"	765.123530721917	-0.117337006778305	-1.0847307672573	0.0683205743096862	-1.71744760584762	0.0858974197736329	0.324973938499661
"AASDH"	544.370979835791	0.0212889351938245	1.01486577808209	0.0588349757224312	0.361841488543489	0.717470486514809	0.885706938241611
"AASDHPPT"	1288.80449073983	-0.011944968838278	-1.00831399233174	0.0527939957813923	-0.226256199431074	0.821002162848543	0.930300642396675
"AASS"	212.889505174297	0.144209207266521	1.1051247288949	0.155191676687464	0.929232870889971	0.352768415775578	0.658363141315973
