<<<<<<< HEAD
"","FC","log2(FC)","raw.pval","-log10(p)"
"HMDB06726",4.1413,2.0501,4.5624e-05,4.3408
"HMDB02064",9.1593,3.1952,0.00017507,3.7568
"HMDB00610",2.9405,1.5561,0.00017876,3.7477
"HMDB10169",5.1984,2.3781,0.0002482,3.6052
"HMDB01539",3.0439,1.6059,0.00035441,3.4505
"HMDB00097",4.1312,2.0465,0.00065664,3.1827
"HMDB01414",5.4143,2.4368,0.00080129,3.0962
"HMDB06344",9.0083,3.1713,0.00098597,3.0061
"HMDB10407",4.4014,2.138,0.0013237,2.8782
"HMDB02226",5.0855,2.3464,0.0013764,2.8612
"HMDB10384",7.0325,2.814,0.0018533,2.7321
"HMDB01043",3.6046,1.8498,0.0018833,2.7251
"HMDB00064",8.7766,3.1337,0.0019682,2.7059
"HMDB12107",4.7039,2.2339,0.0019851,2.7022
"HMDB04159",0.24225,-2.0454,0.0020288,2.6928
"HMDB00222",5.6418,2.4962,0.0023225,2.634
"HMDB00251",3.3687,1.7522,0.0025416,2.5949
"HMDB00848",2.4986,1.3211,0.002587,2.5872
"HMDB04161",0.18883,-2.4049,0.0032929,2.4824
"HMDB11130",11.175,3.4822,0.0041133,2.3858
"HMDB12104",4.4234,2.1452,0.0043353,2.363
"HMDB11697",2.8539,1.513,0.0043811,2.3584
"HMDB05060",2.7978,1.4843,0.0051443,2.2887
"HMDB00885",2.0654,1.0464,0.0055649,2.2545
"HMDB02925",2.8035,1.4872,0.0056989,2.2442
"HMDB04824",11.599,3.5359,0.0064156,2.1928
"HMDB10382",3.4375,1.7814,0.0065785,2.1819
"HMDB10370",2.3091,1.2073,0.0073543,2.1335
"HMDB10393",2.8497,1.5108,0.0081929,2.0866
"HMDB11507",3.6129,1.8532,0.0091511,2.0385
"HMDB00159",3.6332,1.8613,0.0093701,2.0283
"HMDB01976",2.4518,1.2938,0.0098782,2.0053
"HMDB00562",4.0074,2.0027,0.0099683,2.0014
"HMDB04953",3.2117,1.6833,0.010649,1.9727
"HMDB01906",1.8556,0.89189,0.01096,1.9602
"HMDB05065",4.4136,2.142,0.011387,1.9436
"HMDB00452",2.4842,1.3128,0.011612,1.9351
"HMDB11208",17.422,4.1228,0.011695,1.932
"HMDB07199",8.0669,3.012,0.012099,1.9172
"HMDB00201",8.113,3.0202,0.012458,1.9046
"HMDB10404",2.3995,1.2627,0.012543,1.9016
"HMDB05066",5.8213,2.5413,0.013186,1.8799
"HMDB00613",1.7264,0.78774,0.013806,1.8599
"HMDB01325",4.4268,2.1463,0.014121,1.8501
"HMDB00174",1.5766,0.65678,0.014589,1.836
"HMDB02183",2.4916,1.3171,0.01495,1.8254
"HMDB12102",2.5663,1.3597,0.01611,1.7929
"HMDB00167",3.1302,1.6463,0.017096,1.7671
"HMDB00619",2.9283,1.5501,0.01736,1.7604
"HMDB06733",2.1878,1.1295,0.017571,1.7552
"HMDB13287",3.1915,1.6742,0.017958,1.7457
"HMDB03357",1.4443,0.53035,0.018286,1.7379
"HMDB00194",3.0409,1.6045,0.018988,1.7215
"HMDB06731",3.9253,1.9728,0.019745,1.7045
"HMDB37942",0.52198,-0.93793,0.020937,1.6791
"HMDB00555",0.52969,-0.91678,0.021721,1.6631
"HMDB00708",7.22,2.852,0.021921,1.6591
"HMDB02123",0.33954,-1.5584,0.022404,1.6497
"HMDB00036",15.073,3.9139,0.023076,1.6368
"HMDB10395",4.1404,2.0498,0.023228,1.634
"HMDB12103",2.3337,1.2226,0.023729,1.6247
"HMDB07970",14.145,3.8222,0.024447,1.6118
"HMDB02820",0.47788,-1.0653,0.024955,1.6028
"HMDB00637",15.065,3.9131,0.025196,1.5987
"HMDB00247",4.7709,2.2543,0.025888,1.5869
"HMDB06460",2.0574,1.0408,0.026461,1.5774
"HMDB02172",2.6357,1.3982,0.026555,1.5759
"HMDB41876",2.6766,1.4204,0.026722,1.5731
"HMDB07871",14.433,3.8513,0.026971,1.5691
"HMDB02815",3.9336,1.9758,0.027099,1.567
"HMDB00043",4.7089,2.2354,0.028022,1.5525
"HMDB00641",3.4759,1.7974,0.028117,1.551
"HMDB00883",1.9461,0.96061,0.028283,1.5485
"HMDB00138",16.876,4.0769,0.028816,1.5404
"HMDB00158",2.4046,1.2658,0.028909,1.539
"HMDB10383",5.77,2.5286,0.02935,1.5324
"HMDB11503",1.5741,0.6545,0.031919,1.496
"HMDB00479",2.7877,1.4791,0.032231,1.4917
"HMDB12097",1.7909,0.84067,0.032672,1.4858
"HMDB00918",1.563,0.64429,0.033284,1.4778
"HMDB00177",6.0349,2.5933,0.03418,1.4662
"HMDB00792",0.56423,-0.82566,0.03512,1.4544
"HMDB00951",7.856,2.9738,0.036205,1.4412
"HMDB10379",3.3387,1.7393,0.036485,1.4379
"HMDB11520",3.9188,1.9704,0.037681,1.4239
"HMDB00518",2.499,1.3214,0.037989,1.4203
"HMDB02329",3.1357,1.6488,0.038376,1.4159
"HMDB00156",2.1387,1.0968,0.040128,1.3966
"HMDB11506",2.459,1.2981,0.040723,1.3902
"HMDB14611",5.3993,2.4328,0.041723,1.3796
"HMDB02364",0.48663,-1.0391,0.041983,1.3769
"HMDB00687",1.8501,0.88761,0.042279,1.3739
"HMDB02368",2.2069,1.142,0.042288,1.3738
"HMDB00658",2.2045,1.1404,0.043193,1.3646
"HMDB00239",2.5375,1.3434,0.043352,1.363
"HMDB15070",0.36569,-1.4513,0.043772,1.3588
"HMDB00172",2.3447,1.2294,0.045865,1.3385
"HMDB00929",2.8934,1.5328,0.047308,1.3251
"HMDB01186",2.4142,1.2716,0.047782,1.3207
"HMDB00691",2.4336,1.2831,0.049764,1.3031
"HMDB00711",1.3121,0.3919,0.049805,1.3027
"HMDB00122",1.7659,0.82041,0.051467,1.2885
"HMDB01257",2.183,1.1263,0.053339,1.273
"HMDB00026",2.1592,1.1105,0.054493,1.2637
"HMDB01991",0.62708,-0.67328,0.056453,1.2483
"HMDB03459",1.6768,0.74568,0.05985,1.2229
"HMDB04193",1.7,0.76551,0.060757,1.2164
"HMDB10391",3.8786,1.9556,0.062587,1.2035
"HMDB06219",1.4323,0.51837,0.063232,1.1991
"HMDB00094",3.3735,1.7543,0.063232,1.1991
"HMDB11504",1.7241,0.78585,0.066449,1.1775
"HMDB11212",17.582,4.136,0.066773,1.1754
"HMDB11243",8.3518,3.0621,0.067995,1.1675
"HMDB10397",3.0601,1.6136,0.068452,1.1646
"HMDB01348",1.5693,0.65015,0.068574,1.1638
"HMDB02121",0.30831,-1.6976,0.068828,1.1622
"HMDB01921",1.7564,0.81263,0.069369,1.1588
"HMDB00186",1.8708,0.90363,0.069566,1.1576
"HMDB01276",1.8275,0.86986,0.072396,1.1403
"HMDB30180",3.6921,1.8845,0.073758,1.1322
"HMDB02024",0.56159,-0.83241,0.073831,1.1318
"HMDB00098",1.3718,0.45605,0.075339,1.123
"HMDB00190",3.3162,1.7295,0.079482,1.0997
"HMDB06469",4.2286,2.0802,0.080894,1.0921
"HMDB01999",3.7176,1.8944,0.082536,1.0834
"HMDB05360",0.71721,-0.47953,0.082538,1.0833
"HMDB02322",2.3996,1.2628,0.084362,1.0739
"HMDB00875",2.8473,1.5096,0.08523,1.0694
"HMDB35665",2.1616,1.1121,0.087143,1.0598
"HMDB01149",3.7098,1.8914,0.088918,1.051
"HMDB00896",2.0729,1.0516,0.09158,1.0382
"HMDB10387",4.2084,2.0733,0.091709,1.0376
"HMDB13122",3.9448,1.98,0.093213,1.0305
"HMDB01432",5.0323,2.3312,0.093634,1.0286
"HMDB00252",2.394,1.2594,0.09449,1.0246
"HMDB00716",0.65757,-0.60478,0.10006,0.99976
"HMDB00161",1.5181,0.60227,0.10077,0.99665
"HMDB00631",2.6272,1.3935,0.10158,0.99318
"HMDB00123",2.6288,1.3944,0.10162,0.993
"HMDB01895",1.5271,0.61082,0.10193,0.99168
"HMDB07972",11.109,3.4737,0.10492,0.97916
"HMDB08038",18.215,4.187,0.10515,0.9782
"HMDB00722",4.114,2.0405,0.10583,0.9754
"HMDB02100",2.1988,1.1367,0.10598,0.97476
"HMDB04949",1.7744,0.82735,0.10638,0.97315
"HMDB00897",1.1892,0.24998,0.10794,0.9668
"HMDB00932",1.4843,0.56977,0.10797,0.96669
"HMDB00893",0.72932,-0.45537,0.1082,0.96577
"HMDB01390",0.21173,-2.2397,0.10845,0.96478
"HMDB07103",0.60784,-0.71824,0.10852,0.96449
"HMDB11241",12.025,3.588,0.10864,0.964
"HMDB12101",2.5982,1.3775,0.10926,0.96154
"HMDB00766",1.4063,0.49194,0.10929,0.96144
"HMDB05363",0.55943,-0.83798,0.10979,0.95943
"HMDB08105",3.6625,1.8728,0.11098,0.95475
"HMDB00126",2.4405,1.2872,0.11154,0.95257
"HMDB00725",5.5063,2.4611,0.11368,0.94433
"HMDB11310",6.893,2.7851,0.11385,0.94367
"HMDB02392",0.57362,-0.80183,0.11455,0.94102
"HMDB10386",3.2888,1.7175,0.11528,0.93823
"HMDB04956",1.6378,0.71178,0.11581,0.93625
"HMDB08138",5.8806,2.556,0.11591,0.93587
"HMDB11511",1.3074,0.38674,0.11666,0.93308
"HMDB07869",5.816,2.54,0.11712,0.93136
"HMDB08006",4.4342,2.1487,0.12068,0.91837
"HMDB00881",0.80296,-0.31661,0.12144,0.91563
"HMDB07248",0.57114,-0.80808,0.12146,0.91558
"HMDB15052",742.62,9.5365,0.12179,0.91441
"HMDB29723",34.68,5.1161,0.12247,0.91198
"HMDB00888",0.65271,-0.61549,0.12265,0.91132
"HMDB00779",1.5013,0.58618,0.12383,0.90719
"HMDB01008",3.1726,1.6657,0.1294,0.88807
"HMDB05359",2.1326,1.0926,0.13263,0.87736
"HMDB00086",5.9863,2.5817,0.13379,0.87359
